pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
1825,1518,1825,1518,1825,1518
3630,10131,1805,8613,3630,10131
6448,27271,2818,17140,6448,27271
8970,47879,2522,20608,8970,47879
15054,72449,6084,24570,15054,72449
18872,101712,3818,29263,18872,101712
22296,132422,3424,30710,22296,132422
24099,164182,1803,31760,24099,164182
26624,196541,2525,32359,26624,196541
28803,229304,2179,32763,28803,229304
30231,262256,1428,32952,30231,262256
36004,293270,5773,31014,36004,293270
38793,328543,2789,35273,38793,328543
41534,364550,2741,36007,41534,364550
45163,397523,3629,32973,45163,397523
50723,432538,5560,35015,50723,432538
52899,469205,2176,36667,52899,469205
54435,504292,1536,35087,54435,504292
56082,534459,1647,30167,56082,534459
57952,558600,1870,24141,57952,558600
58225,580321,273,21721,58225,580321
60132,599463,1907,19142,60132,599463
63079,622883,2947,23420,63079,622883
66267,650730,3188,27847,66267,650730
68137,681374,1870,30644,68137,681374
73219,712350,5082,30976,73219,712350
76857,746261,3638,33911,76857,746261
80066,782304,3209,36043,80066,782304
83587,817208,3521,34904,83587,817208
84677,852299,1090,35091,84677,852299
87485,887466,2808,35167,87485,887466
90357,922988,2872,35522,90357,922988
93785,956406,3428,33418,93785,956406
97522,988010,3737,31604,97522,988010
99371,1021303,1849,33293,99371,1021303
102138,1052487,2767,31184,102138,1052487
111779,1083162,9641,30675,111779,1083162
116893,1115363,5114,32201,116893,1115363
118368,1152932,1475,37569,118368,1152932
120437,1183726,2069,30794,120437,1183726
122158,1209704,1721,25978,122158,1209704
122941,1230465,783,20761,122941,1230465
123949,1249920,1008,19455,123949,1249920
127221,1269152,3272,19232,127221,1269152
128997,1292544,1776,23392,128997,1292544
131904,1321641,2907,29097,131904,1321641
135058,1351592,3154,29951,135058,1351592
140896,1382946,5838,31354,140896,1382946
144958,1419911,4062,36965,144958,1419911
147636,1455093,2678,35182,147636,1455093
149435,1490446,1799,35353,149435,1490446
151540,1525264,2105,34818,151540,1525264
153142,1558843,1602,33579,153142,1558843
154599,1591539,1457,32696,154599,1591539
160859,1622611,6260,31072,160859,1622611
163646,1655061,2787,32450,163646,1655061
167041,1687853,3395,32792,167041,1687853
169664,1717887,2623,30034,169664,1717887
177214,1748324,7550,30437,177214,1748324
179072,1781358,1858,33034,179072,1781358
180437,1815518,1365,34160,180437,1815518
182851,1844306,2414,28788,182851,1844306
183995,1868543,1144,24237,183995,1868543
185244,1889670,1249,21127,185244,1889670
188619,1907865,3375,18195,188619,1907865
192466,1930571,3847,22706,192466,1930571
197190,1957540,4724,26969,197190,1957540
200553,1987703,3363,30163,200553,1987703
207751,2018666,7198,30963,207751,2018666
210647,2055189,2896,36523,210647,2055189
213651,2093753,3004,38564,213651,2093753
216056,2129106,2405,35353,216056,2129106
217566,2164806,1510,35700,217566,2164806
219725,2199674,2159,34868,219725,2199674
221894,2234168,2169,34494,221894,2234168
225598,2266418,3704,32250,225598,2266418
229951,2298443,4353,32025,229951,2298443
230754,2332473,803,34030,230754,2332473
233257,2362825,2503,30352,233257,2362825
238594,2391701,5337,28876,238594,2391701
241497,2419301,2903,27600,241497,2419301
242881,2451312,1384,32011,242881,2451312
244835,2479392,1954,28080,244835,2479392
247107,2504577,2272,25185,247107,2504577
247976,2524082,869,19505,247976,2524082
249423,2545613,1447,21531,249423,2545613
252063,2566584,2640,20971,252063,2566584
253458,2590650,1395,24066,253458,2590650
257143,2619199,3685,28549,257143,2619199
260581,2649301,3438,30102,260581,2649301
267066,2680474,6485,31173,267066,2680474
269806,2717304,2740,36830,269806,2717304
272815,2752205,3009,34901,272815,2752205
276915,2785920,4100,33715,276915,2785920
278491,2820121,1576,34201,278491,2820121
281182,2854534,2691,34413,281182,2854534
282905,2889163,1723,34629,282905,2889163
286864,2921533,3959,32370,286864,2921533
290621,2954849,3757,33316,290621,2954849
291770,2988280,1149,33431,291770,2988280
294545,3016126,2775,27846,294545,3016126
300802,3045163,6257,29037,300802,3045163
304910,3076813,4108,31650,304910,3076813
306587,3111924,1677,35111,306587,3111924
308159,3141398,1572,29474,308159,3141398
310851,3166242,2692,24844,310851,3166242
311748,3190129,897,23887,311748,3190129
313659,3212244,1911,22115,313659,3212244
316300,3233351,2641,21107,316300,3233351
318910,3258195,2610,24844,318910,3258195
321091,3287263,2181,29068,321091,3287263
324879,3317156,3788,29893,324879,3317156
329961,3349417,5082,32261,329961,3349417
333698,3385821,3737,36404,333698,3385821
336274,3419239,2576,33418,336274,3419239
338759,3453662,2485,34423,338759,3453662
340623,3489211,1864,35549,340623,3489211
342407,3524205,1784,34994,342407,3524205
346481,3557700,4074,33495,346481,3557700
349251,3590436,2770,32736,349251,3590436
351003,3621704,1752,31268,351003,3621704
