pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
2858,743,2858,743,2858,743
3703,6106,845,5363,3703,6106
10005,13780,6302,7674,10005,13780
12331,28418,2326,14638,12331,28418
20267,49464,7936,21046,20267,49464
25073,75498,4806,26034,25073,75498
30328,105778,5255,30280,30328,105778
37094,138364,6766,32586,37094,138364
41128,178215,4034,39851,41128,178215
45334,221739,4206,43524,45334,221739
52598,267331,7264,45592,52598,267331
60136,312463,7538,45132,60136,312463
65596,358440,5460,45977,65596,358440
69362,409288,3766,50848,69362,409288
76983,460198,7621,50910,76983,460198
85030,503441,8047,43243,85030,503441
91186,544117,6156,40676,91186,544117
92962,581059,1776,36942,92962,581059
98667,618801,5705,37742,98667,618801
99486,656107,819,37306,99486,656107
102335,691999,2849,35892,102335,691999
110225,726587,7890,34588,110225,726587
111855,758154,1630,31567,111855,758154
116140,787366,4285,29212,116140,787366
120973,818562,4833,31196,120973,818562
129109,850001,8136,31439,129109,850001
129883,884661,774,34660,129883,884661
139758,921059,9875,36398,139758,921059
144953,961553,5195,40494,144953,961553
150623,1006471,5670,44918,150623,1006471
154636,1050823,4013,44352,154636,1050823
162901,1094436,8265,43613,162901,1094436
166985,1132990,4084,38554,166985,1132990
171283,1173027,4298,40037,171283,1173027
174998,1217166,3715,44139,174998,1217166
181153,1256327,6155,39161,181153,1256327
189290,1290310,8137,33983,189290,1290310
196021,1322599,6731,32289,196021,1322599
197965,1351449,1944,28850,197965,1351449
202727,1381655,4762,30206,202727,1381655
208500,1412837,5773,31182,208500,1412837
209317,1443327,817,30490,209317,1443327
212177,1471038,2860,27711,212177,1471038
214526,1497427,2349,26389,214526,1497427
222791,1525324,8265,27897,222791,1525324
227559,1556024,4768,30700,227559,1556024
236241,1588767,8682,32743,236241,1588767
243831,1624136,7590,35369,243831,1624136
248918,1658738,5087,34602,248918,1658738
253783,1698936,4865,40198,253783,1698936
259180,1740583,5397,41647,259180,1740583
266597,1785248,7417,44665,266597,1785248
273645,1831524,7048,46276,273645,1831524
277358,1873075,3713,41551,277358,1873075
281107,1916646,3749,43571,281107,1916646
283887,1959973,2780,43327,283887,1959973
294625,1998808,10738,38835,294625,1998808
303613,2032788,8988,33980,303613,2032788
309412,2065250,5799,32462,309412,2065250
311112,2100454,1700,35204,311112,2100454
314723,2136499,3611,36045,314723,2136499
317179,2173265,2456,36766,317179,2173265
323290,2209911,6111,36646,323290,2209911
326414,2245319,3124,35408,326414,2245319
328175,2281527,1761,36208,328175,2281527
334554,2318213,6379,36686,334554,2318213
342238,2355547,7684,37334,342238,2355547
342762,2395111,524,39564,342762,2395111
352432,2436240,9670,41129,352432,2436240
357544,2481483,5112,45243,357544,2481483
361882,2531408,4338,49925,361882,2531408
364672,2582083,2790,50675,364672,2582083
377379,2631976,12707,49893,377379,2631976
382442,2676989,5063,45013,382442,2676989
386547,2723948,4105,46959,386547,2723948
390748,2774940,4201,50992,390748,2774940
396662,2822887,5914,47947,396662,2822887
405080,2863833,8418,40946,405080,2863833
409257,2902258,4177,38425,409257,2902258
415856,2933653,6599,31395,415856,2933653
418637,2966625,2781,32972,418637,2966625
421074,2999438,2437,32813,421074,2999438
424757,3031057,3683,31619,424757,3031057
427349,3060680,2592,29623,427349,3060680
432761,3091213,5412,30533,432761,3091213
436095,3120846,3334,29633,436095,3120846
444548,3154850,8453,34004,444548,3154850
454838,3190709,10290,35859,454838,3190709
458561,3226788,3723,36079,458561,3226788
462067,3266245,3506,39457,462067,3266245
467481,3310103,5414,43858,467481,3310103
470443,3353011,2962,42908,470443,3353011
483298,3397270,12855,44259,483298,3397270
487600,3439852,4302,42582,487600,3439852
488489,3439852,889,0,488489,3439852
