pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
15486,682,15486,682,15486,682
33340,10777,17854,10095,33340,10777
39962,26344,6622,15567,39962,26344
56384,46630,16422,20286,56384,46630
71033,69930,14649,23300,71033,69930
72381,98523,1348,28593,72381,98523
80514,129462,8133,30939,80514,129462
85033,160826,4519,31364,85033,160826
90224,190314,5191,29488,90224,190314
102993,219150,12769,28836,102993,219150
108050,248087,5057,28937,108050,248087
123894,278059,15844,29972,123894,278059
133540,311369,9646,33310,133540,311369
141231,346387,7691,35018,141231,346387
151957,381550,10726,35163,151957,381550
154064,416439,2107,34889,154064,416439
166385,447043,12321,30604,166385,447043
178084,473067,11699,26024,178084,473067
183989,500658,5905,27591,183989,500658
190203,525425,6214,24767,190203,525425
203131,551793,12928,26368,203131,551793
215083,582164,11952,30371,215083,582164
229127,614827,14044,32663,229127,614827
237565,650302,8438,35475,237565,650302
245648,688015,8083,37713,245648,688015
254519,727246,8871,39231,254519,727246
262106,765539,7587,38293,262106,765539
268844,800224,6738,34685,268844,800224
275902,833232,7058,33008,275902,833232
285298,866358,9396,33126,285298,866358
298461,900086,13163,33728,298461,900086
308497,934677,10036,34591,308497,934677
313147,968033,4650,33356,313147,968033
324396,1002189,11249,34156,324396,1002189
331248,1036468,6852,34279,331248,1036468
336087,1069144,4839,32676,336087,1069144
341857,1100391,5770,31247,341857,1100391
348070,1129404,6213,29013,348070,1129404
358819,1155449,10749,26045,358819,1155449
365646,1181460,6827,26011,365646,1181460
372999,1207678,7353,26218,372999,1207678
382273,1234985,9274,27307,382273,1234985
395632,1265732,13359,30747,395632,1265732
405615,1298506,9983,32774,405615,1298506
415861,1334441,10246,35935,415861,1334441
431041,1372349,15180,37908,431041,1372349
437902,1411551,6861,39202,437902,1411551
446118,1449201,8216,37650,446118,1449201
456382,1483892,10264,34691,456382,1483892
464003,1516622,7621,32730,464003,1516622
465693,1547743,1690,31121,465693,1547743
477856,1577928,12163,30185,477856,1577928
482638,1607867,4782,29939,482638,1607867
490826,1638285,8188,30418,490826,1638285
501377,1670912,10551,32627,501377,1670912
507932,1703835,6555,32923,507932,1703835
517256,1735136,9324,31301,517256,1735136
522232,1765670,4976,30534,522232,1765670
530598,1793005,8366,27335,530598,1793005
540003,1819986,9405,26981,540003,1819986
559872,1846941,19869,26955,559872,1846941
571217,1877145,11345,30204,571217,1877145
577542,1911752,6325,34607,577542,1911752
587783,1947256,10241,35504,587783,1947256
600450,1983512,12667,36256,600450,1983512
606788,2019950,6338,36438,606788,2019950
612482,2054203,5694,34253,612482,2054203
621797,2084089,9315,29886,621797,2084089
628619,2115614,6822,31525,628619,2115614
638116,2148086,9497,32472,638116,2148086
645399,2180292,7283,32206,645399,2180292
651872,2212448,6473,32156,651872,2212448
660873,2244180,9001,31732,660873,2244180
664054,2276499,3181,32319,664054,2276499
677158,2307550,13104,31051,677158,2307550
686775,2339800,9617,32250,686775,2339800
698609,2372214,11834,32414,698609,2372214
705960,2406655,7351,34441,705960,2406655
714513,2439269,8553,32614,714513,2439269
730149,2471976,15636,32707,730149,2471976
744685,2506222,14536,34246,744685,2506222
747932,2541358,3247,35136,747932,2541358
757134,2572201,9202,30843,757134,2572201
766352,2605159,9218,32958,766352,2605159
775591,2639207,9239,34048,775591,2639207
784518,2671942,8927,32735,784518,2671942
791742,2706267,7224,34325,791742,2706267
803946,2739961,12204,33694,803946,2739961
813045,2773054,9099,33093,813045,2773054
823031,2805461,9986,32407,823031,2805461
829974,2838516,6943,33055,829974,2838516
844969,2870627,14995,32111,844969,2870627
851700,2902695,6731,32068,851700,2902695
858465,2935560,6765,32865,858465,2935560
865720,2968464,7255,32904,865720,2968464
877159,3000485,11439,32021,877159,3000485
890608,3034167,13449,33682,890608,3034167
