pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
10978,3194,10978,3194,10978,3194
20372,12846,9394,9652,20372,12846
28207,26744,7835,13898,28207,26744
42175,45276,13968,18532,42175,45276
57409,69745,15234,24469,57409,69745
72910,97642,15501,27897,72910,97642
88959,127952,16049,30310,88959,127952
97003,159837,8044,31885,97003,159837
106124,193474,9121,33637,106124,193474
120394,226793,14270,33319,120394,226793
140021,258655,19627,31862,140021,258655
157764,289711,17743,31056,157764,289711
171512,323282,13748,33571,171512,323282
183627,357310,12115,34028,183627,357310
187904,394497,4277,37187,187904,394497
196514,432293,8610,37796,196514,432293
213223,472680,16709,40387,213223,472680
213223,512579,0,39899,213223,512579
223841,552166,10618,39587,223841,552166
229317,589948,5476,37782,229317,589948
238181,626000,8864,36052,238181,626000
240502,660213,2321,34213,240502,660213
244290,685692,3788,25479,244290,685692
249043,709073,4753,23381,249043,709073
255068,734825,6025,25752,255068,734825
262131,762708,7063,27883,262131,762708
281992,791615,19861,28907,281992,791615
297829,821540,15837,29925,297829,821540
309910,852377,12081,30837,309910,852377
320793,881567,10883,29190,320793,881567
335061,909986,14268,28419,335061,909986
346519,936411,11458,26425,346519,936411
356704,960919,10185,24508,356704,960919
372682,985643,15978,24724,372682,985643
390741,1014030,18059,28387,390741,1014030
403885,1045379,13144,31349,403885,1045379
416183,1076300,12298,30921,416183,1076300
420514,1112425,4331,36125,420514,1112425
431975,1150889,11461,38464,431975,1150889
438946,1189845,6971,38956,438946,1189845
442889,1228840,3943,38995,442889,1228840
453256,1270368,10367,41528,453256,1270368
457771,1308816,4515,38448,457771,1308816
464102,1344500,6331,35684,464102,1344500
468251,1375697,4149,31197,468251,1375697
473754,1400243,5503,24546,473754,1400243
477439,1424818,3685,24575,477439,1424818
488514,1450618,11075,25800,488514,1450618
496907,1479296,8393,28678,496907,1479296
513919,1508568,17012,29272,513919,1508568
522517,1539799,8598,31231,522517,1539799
543170,1568503,20653,28704,543170,1568503
549520,1596520,6350,28017,549520,1596520
561552,1623800,12032,27280,561552,1623800
578354,1650906,16802,27106,578354,1650906
594246,1677382,15892,26476,594246,1677382
611706,1705884,17460,28502,611706,1705884
618917,1738436,7211,32552,618917,1738436
632201,1774872,13284,36436,632201,1774872
644810,1814592,12609,39720,644810,1814592
652690,1860642,7880,46050,652690,1860642
660714,1908623,8024,47981,660714,1908623
674189,1957927,13475,49304,674189,1957927
680630,2009338,6441,51411,680630,2009338
687704,2057375,7074,48037,687704,2057375
691807,2101028,4103,43653,691807,2101028
697422,2140064,5615,39036,697422,2140064
698958,2172517,1536,32453,698958,2172517
707674,2199191,8716,26674,707674,2199191
713406,2226903,5732,27712,713406,2226903
721580,2256174,8174,29271,721580,2256174
734054,2285694,12474,29520,734054,2285694
750337,2313739,16283,28045,750337,2313739
765206,2342274,14869,28535,765206,2342274
778922,2370131,13716,27857,778922,2370131
787054,2397253,8132,27122,787054,2397253
795404,2424902,8350,27649,795404,2424902
819434,2450854,24030,25952,819434,2450854
837619,2474117,18185,23263,837619,2474117
855161,2499274,17542,25157,855161,2499274
874497,2526822,19336,27548,874497,2526822
886979,2557841,12482,31019,886979,2557841
891245,2594728,4266,36887,891245,2594728
900120,2635978,8875,41250,900120,2635978
908653,2678416,8533,42438,908653,2678416
914160,2720478,5507,42062,914160,2720478
925188,2764109,11028,43631,925188,2764109
926354,2804174,1166,40065,926354,2804174
934866,2841599,8512,37425,934866,2841599
938568,2874962,3702,33363,938568,2874962
943275,2902724,4707,27762,943275,2902724
949182,2927657,5907,24933,949182,2927657
954708,2950560,5526,22903,954708,2950560
969293,2975339,14585,24779,969293,2975339
971482,2975339,2189,0,971482,2975339
