pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
2851,1687,2851,1687,2851,1687
6260,13415,3409,11728,6260,13415
14319,26737,8059,13322,14319,26737
20267,44459,5948,17722,20267,44459
24849,68172,4582,23713,24849,68172
31215,96015,6366,27843,31215,96015
33450,128056,2235,32041,33450,128056
37577,164998,4127,36942,37577,164998
40266,204460,2689,39462,40266,204460
43696,244149,3430,39689,43696,244149
47521,285120,3825,40971,47521,285120
48721,326090,1200,40970,48721,326090
52899,364706,4178,38616,52899,364706
55304,404414,2405,39708,55304,404414
63085,443015,7781,38601,63085,443015
66070,483344,2985,40329,66070,483344
70230,523170,4160,39826,70230,523170
71887,561136,1657,37966,71887,561136
77600,599008,5713,37872,77600,599008
81869,637302,4269,38294,81869,637302
88141,674639,6272,37337,88141,674639
91741,716059,3600,41420,91741,716059
97336,759076,5595,43017,97336,759076
99661,798536,2325,39460,99661,798536
102691,837041,3030,38505,102691,837041
109401,873127,6710,36086,109401,873127
113009,907424,3608,34297,113009,907424
118430,942330,5421,34906,118430,942330
123293,979652,4863,37322,123293,979652
125362,1014253,2069,34601,125362,1014253
127741,1047952,2379,33699,127741,1047952
131105,1079724,3364,31772,131105,1079724
134904,1114004,3799,34280,134904,1114004
137583,1147757,2679,33753,137583,1147757
141321,1180886,3738,33129,141321,1180886
142370,1210886,1049,30000,142370,1210886
148319,1238420,5949,27534,148319,1238420
152063,1265728,3744,27308,152063,1265728
157111,1294660,5048,28932,157111,1294660
162389,1326154,5278,31494,162389,1326154
164692,1357663,2303,31509,164692,1357663
170263,1390638,5571,32975,170263,1390638
171757,1426416,1494,35778,171757,1426416
179541,1466036,7784,39620,179541,1466036
185195,1506258,5654,40222,185195,1506258
188429,1548245,3234,41987,188429,1548245
193732,1588088,5303,39843,193732,1588088
196982,1625992,3250,37904,196982,1625992
199129,1664836,2147,38844,199129,1664836
205897,1703306,6768,38470,205897,1703306
209388,1742607,3491,39301,209388,1742607
212298,1784153,2910,41546,212298,1784153
213935,1822145,1637,37992,213935,1822145
218003,1857627,4068,35482,218003,1857627
220357,1893335,2354,35708,220357,1893335
223267,1928221,2910,34886,223267,1928221
228484,1962211,5217,33990,228484,1962211
230213,1995058,1729,32847,230213,1995058
235272,2024845,5059,29787,235272,2024845
239284,2053098,4012,28253,239284,2053098
242770,2080809,3486,27711,242770,2080809
251007,2109832,8237,29023,251007,2109832
255565,2143571,4558,33739,255565,2143571
259653,2181161,4088,37590,259653,2181161
262899,2222345,3246,41184,262899,2222345
266950,2266560,4051,44215,266950,2266560
270782,2311401,3832,44841,270782,2311401
277279,2357232,6497,45831,277279,2357232
281352,2402929,4073,45697,281352,2402929
286499,2449279,5147,46350,286499,2449279
288820,2491830,2321,42551,288820,2491830
293343,2533787,4523,41957,293343,2533787
298708,2576564,5365,42777,298708,2576564
304182,2616684,5474,40120,304182,2616684
310628,2656404,6446,39720,310628,2656404
315231,2698118,4603,41714,315231,2698118
317779,2736053,2548,37935,317779,2736053
320633,2773665,2854,37612,320633,2773665
323581,2811479,2948,37814,323581,2811479
326191,2848537,2610,37058,326191,2848537
328348,2883920,2157,35383,328348,2883920
330349,2918403,2001,34483,330349,2918403
332599,2949127,2250,30724,332599,2949127
337138,2976732,4539,27605,337138,2976732
343249,3004038,6111,27306,343249,3004038
349543,3033716,6294,29678,349543,3033716
352675,3066621,3132,32905,352675,3066621
356759,3100997,4084,34376,356759,3100997
358927,3138221,2168,37224,358927,3138221
363866,3176173,4939,37952,363866,3176173
369747,3216431,5881,40258,369747,3216431
373105,3257512,3358,41081,373105,3257512
379213,3298290,6108,40778,379213,3298290
380749,3337301,1536,39011,380749,3337301
384542,3373522,3793,36221,384542,3373522
385641,3410508,1099,36986,385641,3410508
395033,3445170,9392,34662,395033,3445170
397612,3479305,2579,34135,397612,3479305
400363,3515663,2751,36358,400363,3515663
401223,3547815,860,32152,401223,3547815
