pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
12758,1062,12758,1062,12758,1062
26723,4475,13965,3413,26723,4475
48781,11629,22058,7154,48781,11629
68610,25060,19829,13431,68610,25060
89185,44139,20575,19079,89185,44139
110234,71452,21049,27313,110234,71452
117562,104612,7328,33160,117562,104612
126363,139801,8801,35189,126363,139801
143604,180608,17241,40807,143604,180608
153140,223685,9536,43077,153140,223685
169478,268479,16338,44794,169478,268479
175594,310739,6116,42260,175594,310739
194858,347246,19264,36507,194858,347246
209224,384538,14366,37292,209224,384538
229559,418099,20335,33561,229559,418099
238835,450515,9276,32416,238835,450515
244666,482451,5831,31936,244666,482451
253993,512152,9327,29701,253993,512152
258800,539936,4807,27784,258800,539936
267670,565389,8870,25453,267670,565389
269106,590879,1436,25490,269106,590879
273617,616261,4511,25382,273617,616261
289579,640948,15962,24687,289579,640948
302256,668102,12677,27154,302256,668102
318144,691110,15888,23008,318144,691110
338186,716574,20042,25464,338186,716574
349302,744076,11116,27502,349302,744076
358267,771049,8965,26973,358267,771049
368409,798052,10142,27003,368409,798052
385118,825907,16709,27855,385118,825907
394687,856549,9569,30642,394687,856549
405323,886597,10636,30048,405323,886597
420525,916084,15202,29487,420525,916084
426064,947008,5539,30924,426064,947008
444589,976378,18525,29370,444589,976378
455815,1003054,11226,26676,455815,1003054
471966,1032058,16151,29004,471966,1032058
487886,1066817,15920,34759,487886,1066817
496235,1099975,8349,33158,496235,1099975
508654,1133192,12419,33217,508654,1133192
513493,1166565,4839,33373,513493,1166565
524105,1198246,10612,31681,524105,1198246
533619,1228088,9514,29842,533619,1228088
543885,1256566,10266,28478,543885,1256566
547069,1283747,3184,27181,547069,1283747
553792,1309691,6723,25944,553792,1309691
569525,1330556,15733,20865,569525,1330556
589820,1353052,20295,22496,589820,1353052
605982,1376794,16162,23742,605982,1376794
614828,1400691,8846,23897,614828,1400691
620917,1425830,6089,25139,620917,1425830
635455,1453442,14538,27612,635455,1453442
641993,1483111,6538,29669,641993,1483111
667022,1512595,25029,29484,667022,1512595
676579,1546039,9557,33444,676579,1546039
686524,1579798,9945,33759,686524,1579798
697643,1613436,11119,33638,697643,1613436
712933,1642120,15290,28684,712933,1642120
730221,1671466,17288,29346,730221,1671466
747072,1704594,16851,33128,747072,1704594
766236,1738993,19164,34399,766236,1738993
778975,1774299,12739,35306,778975,1774299
787887,1809289,8912,34990,787887,1809289
802443,1841972,14556,32683,802443,1841972
810104,1875768,7661,33796,810104,1875768
823130,1909043,13026,33275,823130,1909043
836768,1943829,13638,34786,836768,1943829
846166,1978513,9398,34684,846166,1978513
862782,2009403,16616,30890,862782,2009403
874763,2038381,11981,28978,874763,2038381
889441,2065271,14678,26890,889441,2065271
898688,2093418,9247,28147,898688,2093418
908926,2120843,10238,27425,908926,2120843
925597,2147906,16671,27063,925597,2147906
937237,2180188,11640,32282,937237,2180188
953226,2210352,15989,30164,953226,2210352
959981,2241239,6755,30887,959981,2241239
963169,2272297,3188,31058,963169,2272297
971978,2301372,8809,29075,971978,2301372
982088,2326088,10110,24716,982088,2326088
995897,2348903,13809,22815,995897,2348903
1025566,2373171,29669,24268,1025566,2373171
1035757,2400443,10191,27272,1035757,2400443
1052029,2424247,16272,23804,1052029,2424247
1063498,2448205,11469,23958,1063498,2448205
1078474,2471107,14976,22902,1078474,2471107
1092965,2496239,14491,25132,1092965,2496239
1102616,2524499,9651,28260,1102616,2524499
1114926,2556694,12310,32195,1114926,2556694
1121313,2592900,6387,36206,1121313,2592900
1124516,2626814,3203,33914,1124516,2626814
1137056,2657007,12540,30193,1137056,2657007
1151654,2686148,14598,29141,1151654,2686148
1160540,2715501,8886,29353,1160540,2715501
1186243,2744649,25703,29148,1186243,2744649
1197269,2744649,11026,0,1197269,2744649
