pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
2627,3618,2627,3618,2627,3618
13203,14599,10576,10981,13203,14599
27708,37261,14505,22662,27708,37261
38193,72015,10485,34754,38193,72015
52231,112814,14038,40799,52231,112814
57465,155094,5234,42280,57465,155094
64815,197991,7350,42897,64815,197991
77607,239827,12792,41836,77607,239827
87846,281178,10239,41351,87846,281178
95420,314753,7574,33575,95420,314753
102101,343847,6681,29094,102101,343847
110384,374036,8283,30189,110384,374036
118924,407084,8540,33048,118924,407084
136246,440960,17322,33876,136246,440960
148143,473703,11897,32743,148143,473703
159879,506372,11736,32669,159879,506372
165308,539946,5429,33574,165308,539946
168513,574127,3205,34181,168513,574127
173981,604521,5468,30394,173981,604521
182692,631839,8711,27318,182692,631839
189610,658898,6918,27059,189610,658898
202504,689190,12894,30292,202504,689190
207365,721447,4861,32257,207365,721447
224923,755392,17558,33945,224923,755392
234787,795041,9864,39649,234787,795041
243577,834880,8790,39839,243577,834880
254060,873243,10483,38363,254060,873243
259779,908625,5719,35382,259779,908625
264714,942064,4935,33439,264714,942064
274626,970670,9912,28606,274626,970670
278147,997421,3521,26751,278147,997421
285179,1023960,7032,26539,285179,1023960
297202,1051477,12023,27517,297202,1051477
305454,1082902,8252,31425,305454,1082902
310635,1115373,5181,32471,310635,1115373
328475,1148511,17840,33138,328475,1148511
336131,1182017,7656,33506,336131,1182017
342708,1215678,6577,33661,342708,1215678
351891,1246910,9183,31232,351891,1246910
356943,1275665,5052,28755,356943,1275665
361937,1305401,4994,29736,361937,1305401
372192,1333225,10255,27824,372192,1333225
380787,1361150,8595,27925,380787,1361150
391261,1391651,10474,30501,391261,1391651
400117,1425777,8856,34126,400117,1425777
411529,1461091,11412,35314,411529,1461091
419508,1498066,7979,36975,419508,1498066
428883,1536642,9375,38576,428883,1536642
441500,1572193,12617,35551,441500,1572193
445956,1603392,4456,31199,445956,1603392
452915,1630769,6959,27377,452915,1630769
465112,1657103,12197,26334,465112,1657103
477646,1687707,12534,30604,477646,1687707
482921,1720578,5275,32871,482921,1720578
491110,1753444,8189,32866,491110,1753444
495434,1789679,4324,36235,495434,1789679
503962,1828957,8528,39278,503962,1828957
510075,1873727,6113,44770,510075,1873727
527477,1912006,17402,38279,527477,1912006
543410,1943125,15933,31119,543410,1943125
555976,1972833,12566,29708,555976,1972833
563228,2002459,7252,29626,563228,2002459
565893,2031964,2665,29505,565893,2031964
577309,2059603,11416,27639,577309,2059603
584158,2089842,6849,30239,584158,2089842
590500,2115886,6342,26044,590500,2115886
599159,2141053,8659,25167,599159,2141053
606401,2167739,7242,26686,606401,2167739
614638,2195683,8237,27944,614638,2195683
624611,2224987,9973,29304,624611,2224987
636042,2253670,11431,28683,636042,2253670
645812,2287823,9770,34153,645812,2287823
654985,2325767,9173,37944,654985,2325767
668398,2363180,13413,37413,668398,2363180
675145,2401280,6747,38100,675145,2401280
678056,2440462,2911,39182,678056,2440462
690225,2477745,12169,37283,690225,2477745
699578,2512254,9353,34509,699578,2512254
706318,2544830,6740,32576,706318,2544830
716608,2576417,10290,31587,716608,2576417
722490,2604508,5882,28091,722490,2604508
728077,2629716,5587,25208,728077,2629716
747378,2653516,19301,23800,747378,2653516
758813,2678055,11435,24539,758813,2678055
769598,2706159,10785,28104,769598,2706159
774077,2736613,4479,30454,774077,2736613
783178,2767887,9101,31274,783178,2767887
795334,2804638,12156,36751,795334,2804638
800157,2844823,4823,40185,800157,2844823
810704,2882415,10547,37592,810704,2882415
822931,2918197,12227,35782,822931,2918197
831172,2953147,8241,34950,831172,2953147
841575,2988038,10403,34891,841575,2988038
857327,3020009,15752,31971,857327,3020009
871945,3050553,14618,30544,871945,3050553
