pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
3056,342,2872,321,2872,321
8840,4910,5437,4294,8309,4615
12126,11693,3089,6376,11398,10991
13289,23694,1093,11280,12491,22271
18458,37746,4859,13208,17349,35479
21092,54180,2476,15447,19825,50926
23911,73415,2650,18080,22475,69006
25100,96101,1118,21323,23592,90329
28298,121639,3006,24004,26598,114333
28352,149028,51,25744,26649,140077
30684,178990,2192,28162,28841,168240
35714,207994,4728,27262,33569,195502
42224,238357,6119,28539,39688,224041
44706,271723,2333,31362,42021,255403
47014,304919,2169,31202,44190,286606
49683,337862,2509,30964,46699,317570
51183,373194,1410,33210,48109,350780
52363,406442,1109,31251,49218,382031
53799,437926,1350,29593,50568,411624
60576,468595,6370,28827,56938,440451
61961,501006,1302,30464,58240,470916
63809,533782,1737,30807,59977,501723
63863,565862,51,30153,60027,531876
64819,599494,899,31612,60926,563488
68014,631238,3003,29837,63929,593326
69458,661244,1357,28204,65286,621530
71119,693164,1561,30003,66848,651533
73335,721647,2083,26772,68930,678305
76232,749654,2723,26325,71654,704630
77129,780280,843,28787,72497,733416
78603,808246,1385,26286,73882,759703
80130,836439,1435,26500,75317,786202
82546,866344,2271,28109,77588,814311
88599,895257,5689,27176,83278,841488
92240,925783,3422,28693,86700,870180
94851,959933,2454,32099,89154,902279
99141,992481,4032,30593,93187,932873
100357,1023934,1143,29564,94330,962436
105363,1057593,4705,31637,99035,994074
107366,1089316,1883,29818,100918,1023892
108947,1119381,1486,28259,102404,1052151
112117,1152960,2980,31562,105383,1083713
113422,1186800,1227,31808,106610,1115521
113994,1221131,538,32269,107148,1147790
116280,1257005,2149,33719,109296,1181509
118579,1291093,2161,32041,111457,1213550
120599,1321956,1899,29009,113356,1242559
122106,1354460,1416,30552,114772,1273111
124833,1388444,2563,31943,117336,1305054
126800,1417949,1849,27733,119184,1332787
130700,1448902,3666,29094,122850,1361881
131647,1480018,890,29247,123740,1391128
132811,1508334,1094,26615,124834,1417743
138048,1538225,4922,28096,129757,1445839
142721,1570693,4392,30518,134149,1476357
145631,1602864,2735,30239,136884,1506596
149559,1637166,3692,32242,140576,1538838
151408,1673404,1738,34062,142314,1572899
154352,1706967,2767,31547,145082,1604446
157767,1741335,3210,32304,148292,1636750
160141,1776314,2231,32878,150523,1669628
161776,1809377,1537,31077,152060,1700706
162766,1844135,931,32670,152990,1733376
165799,1877115,2851,30999,155841,1764375
165855,1910295,53,31187,155894,1795563
167506,1944727,1552,32364,157446,1827927
168998,1977379,1402,30691,158848,1858617
173039,2008058,3798,28836,162646,1887454
173948,2040317,854,30322,163501,1917775
175310,2072068,1280,29844,164781,1947619
176866,2102831,1463,28915,166243,1976535
181680,2135213,4525,30437,170768,2006972
183570,2165646,1776,28605,172545,2035577
187781,2196787,3958,29271,176503,2064848
189921,2229758,2011,30991,178514,2095839
195385,2260415,5136,28816,183650,2124654
200646,2293761,4945,31343,188595,2155998
202397,2330573,1646,34601,190241,2190599
203801,2363923,1320,31347,191561,2221946
205845,2395999,1921,30150,193482,2252095
207620,2427074,1668,29209,195150,2281304
209068,2456934,1361,28067,196511,2309370
211586,2487279,2367,28522,198878,2337893
213546,2519036,1842,29850,200720,2367743
214945,2553183,1315,32096,202035,2399839
215974,2587195,967,31969,203003,2431808
217007,2621116,971,31884,203974,2463692
219911,2652623,2730,29615,206703,2493306
224321,2680173,4145,25895,210848,2519202
229127,2710839,4517,28824,215366,2548026
231073,2743570,1829,30765,217195,2578791
234079,2772609,2825,27295,220020,2606086
236205,2803789,1998,29307,222019,2635393
237589,2837464,1301,31652,223319,2667046
237766,2868604,166,29270,223486,2696315
243726,2900805,5602,30267,229088,2726582
246464,2935333,2574,32454,231661,2759037
249108,2967121,2485,29879,234147,2788916
251339,3000017,2097,30920,236244,2819836
255718,3035899,4116,33727,240360,2853563
256780,3067055,998,29285,241358,2882847
259492,3099315,2549,30322,243907,2913170
260878,3132938,1303,31604,245210,2944774
261878,3162170,940,27476,246150,2972250
264858,3193805,2801,29735,248951,3001985
267299,3228979,2294,33061,251245,3035046
270290,3260361,2811,29497,254056,3064544
272755,3293981,2317,31601,256373,3096144
274076,3327833,1242,31819,257615,3127963
276382,3357314,2168,27710,259782,3155674
278264,3387910,1769,28758,261551,3184432
279749,3420072,1396,30230,262947,3214662
283229,3449482,3271,27644,266218,3242306
285534,3481963,2167,30530,268385,3272836
287048,3515340,1423,31372,269808,3304208
287088,3544520,38,27427,269845,3331636
291880,3574114,4504,27817,274350,3359452
302141,3605325,9645,29336,283994,3388789
