pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
5272,1235,5061,1186,5061,1186
18623,11081,12817,9452,17878,10638
24845,28683,5973,16898,23851,27536
31184,50338,6085,20789,29937,48324
46241,73860,14455,22581,44391,70906
55701,98712,9082,23858,53473,94764
67678,123659,11498,23949,64971,118713
75684,147055,7686,22460,72657,141173
91849,169691,15518,21731,88175,162903
105279,189900,12893,19401,101068,182304
114362,210256,8720,19542,109788,201846
121201,231981,6565,20856,116353,222702
129770,252476,8226,19675,124579,242377
143972,272143,13634,18880,138213,261257
147476,290021,3364,17163,141577,278420
153796,305075,6067,14452,147644,292872
162134,321212,8004,15492,155649,308364
171239,338653,8741,16743,164389,325107
190507,357678,18497,18264,182887,343371
194578,379184,3908,20646,186795,364017
206348,402009,11299,21912,198094,385929
213121,429670,6502,26555,204596,412483
220431,459231,7018,28379,211614,440862
229144,490964,8364,30464,219978,471325
234386,527810,5032,35372,225011,506698
248166,568615,13229,39173,238239,545870
254029,607375,5628,37210,243868,583080
267251,639903,12693,31227,256561,614307
281225,670041,13415,28932,269976,643239
289638,699182,8076,27975,278052,671215
309675,727325,19236,27017,297288,698232
327232,755287,16855,26844,314143,725076
335653,780335,8084,24046,322227,749122
338938,803728,3154,22457,325380,771579
339537,824441,575,19884,325956,791463
341807,842421,2179,17261,328135,808724
348851,858464,6762,15401,334897,824125
366917,871589,17343,12600,352240,836725
375348,885628,8094,13477,360334,850203
383117,900942,7458,14701,367792,864904
396493,918541,12841,16895,380633,881799
405271,939868,8427,20474,389060,902273
413783,962981,8172,22188,397232,924462
422802,990769,8658,26676,405890,951138
426815,1018991,3852,27093,409742,978231
436382,1048872,9184,28686,418927,1006917
448186,1082967,11332,32731,430259,1039648
450768,1121079,2479,36588,432737,1076236
456881,1157890,5868,35339,438606,1111574
464976,1189589,7771,30431,446377,1142005
489852,1220347,23881,29528,470258,1171533
499270,1250869,9041,29301,479299,1200834
509067,1280574,9405,28517,488704,1229351
531581,1308152,21613,26475,510318,1255826
538441,1335678,6586,26425,516903,1282251
547061,1361968,8275,25238,525179,1307489
552236,1384392,4968,21527,530147,1329016
557364,1402742,4923,17616,535069,1346632
559948,1419217,2481,15816,537550,1362448
565116,1432760,4961,13001,542511,1375450
568964,1443361,3694,10177,546205,1385627
572141,1454038,3050,10250,549255,1395876
589400,1466269,16569,11742,565824,1407618
600142,1483329,10312,16378,576136,1423996
611849,1503378,11239,19247,587375,1443243
617688,1526066,5605,21780,592980,1465023
624592,1552872,6628,25734,599608,1490757
635099,1581822,10087,27792,609695,1518549
647145,1614619,11564,31485,621259,1550034
656401,1651120,8886,35041,630145,1585075
661249,1691198,4654,38475,634799,1623550
667434,1730083,5938,37330,640737,1660880
681813,1764323,13804,32870,654540,1693750
692524,1794143,10283,28627,664823,1722377
709414,1824294,16214,28945,681037,1751322
719033,1856353,9234,30777,690272,1782099
739962,1886406,20092,28851,710364,1810950
749498,1916160,9155,28564,719518,1839514
756517,1944292,6738,27007,726256,1866520
760759,1969871,4072,24556,730329,1891076
766474,1991924,5486,21171,735815,1912247
768991,2009745,2416,17108,738231,1929355
774025,2024125,4833,13805,743064,1943160
778745,2033410,4531,8914,747595,1952074
785469,2043045,6455,9250,754050,1961323
795204,2053953,9346,10472,763396,1971795
809778,2068841,13991,14292,777387,1986087
821550,2084798,11301,15319,788688,2001406
826838,2105060,5076,19452,793764,2020858
839750,2130545,12396,24466,806160,2045323
850339,2159876,10165,28158,816325,2073481
857523,2193512,6897,32291,823222,2105772
862384,2231296,4667,36273,827889,2142044
869035,2269681,6385,36850,834274,2178894
877732,2301844,8349,30876,842623,2209770
891504,2330151,13221,27175,855844,2236945
902169,2357717,10238,26463,866082,2263408
906374,2385321,4037,26500,870119,2289908
921427,2411445,14451,25079,884570,2314987
933159,2434032,11263,21684,895833,2336671
950102,2455998,16265,21087,912098,2357758
955461,2480310,5145,23340,917243,2381098
963059,2501702,7294,20536,924537,2401634
968395,2520924,5123,18453,929659,2420087
971080,2539170,2578,17516,932237,2437603
977759,2555152,6412,15343,938649,2452946
985761,2568838,7682,13139,946331,2466084
994745,2582077,8625,12709,954955,2478794
1009046,2597282,13729,14597,968684,2493391
1013339,2615906,4121,17879,972805,2511270
1017882,2637040,4361,20289,977167,2531558
1026092,2661634,7882,23610,985048,2555169
1045138,2691142,18284,28328,1003332,2583496
1054833,2726263,9307,33716,1012640,2617212
1063853,2765772,8659,37929,1021299,2655141
1068527,2809205,4487,41696,1025786,2696837
1079119,2849445,10168,38630,1035954,2735467
