pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
8227,1678,8227,1678,8227,1678
9677,7681,1450,6003,9677,7681
14044,17800,4367,10119,14044,17800
24125,30814,10081,13014,24125,30814
27171,50677,3046,19863,27171,50677
28621,75408,1450,24731,28621,75408
37472,102477,8851,27069,37472,102477
41335,130152,3863,27675,41335,130152
45386,160289,4051,30137,45386,160289
49819,194223,4433,33934,49819,194223
59873,223759,10054,29536,59873,223759
62043,251733,2170,27974,62043,251733
66270,278786,4227,27053,66270,278786
71889,303170,5619,24384,71889,303170
76768,324711,4879,21541,76768,324711
82049,349452,5281,24741,82049,349452
84566,375050,2517,25598,84566,375050
91924,401153,7358,26103,91924,401153
95579,430799,3655,29646,95579,430799
99348,463342,3769,32543,99348,463342
103092,493175,3744,29833,103092,493175
104078,524938,986,31763,104078,524938
112430,555411,8352,30473,112430,555411
115947,582982,3517,27571,115947,582982
118717,605125,2770,22143,118717,605125
123730,626478,5013,21353,123730,626478
126962,651710,3232,25232,126962,651710
130021,673141,3059,21431,130021,673141
136009,697011,5988,23870,136009,697011
140632,723052,4623,26041,140632,723052
142384,751802,1752,28750,142384,751802
148029,780511,5645,28709,148029,780511
157108,810083,9079,29572,157108,810083
164339,840269,7231,30186,164339,840269
175846,868784,11507,28515,175846,868784
180024,894135,4178,25351,180024,894135
185309,923423,5285,29288,185309,923423
188691,951467,3382,28044,188691,951467
193902,979697,5211,28230,193902,979697
198330,1007712,4428,28015,198330,1007712
202310,1036484,3980,28772,202310,1036484
207979,1065549,5669,29065,207979,1065549
209738,1095563,1759,30014,209738,1095563
211445,1124623,1707,29060,211445,1124623
220603,1151716,9158,27093,220603,1151716
224521,1175086,3918,23370,224521,1175086
229401,1197593,4880,22507,229401,1197593
235218,1223325,5817,25732,235218,1223325
238698,1248008,3480,24683,238698,1248008
242027,1275659,3329,27651,242027,1275659
246491,1303619,4464,27960,246491,1303619
250776,1334257,4285,30638,250776,1334257
254292,1363008,3516,28751,254292,1363008
260840,1392283,6548,29275,260840,1392283
263801,1420027,2961,27744,263801,1420027
267396,1444256,3595,24229,267396,1444256
275828,1464104,8432,19848,275828,1464104
281254,1481662,5426,17558,281254,1481662
284656,1503896,3402,22234,284656,1503896
290636,1524163,5980,20267,290636,1524163
293652,1548221,3016,24058,293652,1548221
298710,1573830,5058,25609,298710,1573830
300751,1603803,2041,29973,300751,1603803
306770,1633356,6019,29553,306770,1633356
307794,1664139,1024,30783,307794,1664139
313843,1694906,6049,30767,313843,1694906
319734,1721408,5891,26502,319734,1721408
327882,1746581,8148,25173,327882,1746581
332820,1774511,4938,27930,332820,1774511
340327,1805164,7507,30653,340327,1805164
341223,1833982,896,28818,341223,1833982
350833,1864256,9610,30274,350833,1864256
355671,1896560,4838,32304,355671,1896560
356969,1931324,1298,34764,356969,1931324
361128,1962526,4159,31202,361128,1962526
370186,1993694,9058,31168,370186,1993694
380880,2022848,10694,29154,380880,2022848
384999,2049164,4119,26316,384999,2049164
391646,2069363,6647,20199,391646,2069363
391646,2092251,0,22888,391646,2092251
402163,2117175,10517,24924,402163,2117175
404625,2142576,2462,25401,404625,2142576
413617,2171397,8992,28821,413617,2171397
416593,2205157,2976,33760,416593,2205157
421153,2241870,4560,36713,421153,2241870
422064,2274044,911,32174,422064,2274044
424396,2305795,2332,31751,424396,2305795
433286,2337841,8890,32046,433286,2337841
438365,2365354,5079,27513,438365,2365354
443426,2387390,5061,22036,443426,2387390
447682,2411910,4256,24520,447682,2411910
449866,2435811,2184,23901,449866,2435811
456620,2461505,6754,25694,456620,2461505
460935,2491098,4315,29593,460935,2491098
464832,2523606,3897,32508,464832,2523606
469771,2554779,4939,31173,469771,2554779
479897,2585598,10126,30819,479897,2585598
483558,2617373,3661,31775,483558,2617373
488683,2645602,5125,28229,488683,2645602
492169,2667444,3486,21842,492169,2667444
496453,2687759,4284,20315,496453,2687759
504137,2713444,7684,25685,504137,2713444
513048,2738347,8911,24903,513048,2738347
516166,2767912,3118,29565,516166,2767912
521400,2800643,5234,32731,521400,2800643
523418,2833493,2018,32850,523418,2833493
528898,2863510,5480,30017,528898,2863510
531100,2893277,2202,29767,531100,2893277
538926,2923597,7826,30320,538926,2923597
548959,2949409,10033,25812,548959,2949409
552170,2974539,3211,25130,552170,2974539
557000,3001666,4830,27127,557000,3001666
564637,3029888,7637,28222,564637,3029888
572264,3059991,7627,30103,572264,3059991
576283,3091893,4019,31902,576283,3091893
580032,3126565,3749,34672,580032,3126565
585533,3160971,5501,34406,585533,3160971
586950,3192064,1417,31093,586950,3192064
597475,3222560,10525,30496,597475,3222560
603657,3251157,6182,28597,603657,3251157
607890,3274789,4233,23632,607890,3274789
612613,3294679,4723,19890,612613,3294679
617497,3319417,4884,24738,617497,3319417
