pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
6128,795,6128,795,6128,795
14404,6383,8276,5588,14404,6383
20062,16997,5658,10614,20062,16997
24551,34005,4489,17008,24551,34005
29704,56119,5153,22114,29704,56119
30580,81645,876,25526,30580,81645
33032,107648,2452,26003,33032,107648
34235,134340,1203,26692,34235,134340
41346,161457,7111,27117,41346,161457
42307,192631,961,31174,42307,192631
53179,224515,10872,31884,53179,224515
57624,257795,4445,33280,57624,257795
65391,295268,7767,37473,65391,295268
71102,332155,5711,36887,71102,332155
75371,373215,4269,41060,75371,373215
80048,415337,4677,42122,80048,415337
87857,455161,7809,39824,87857,455161
95395,492795,7538,37634,95395,492795
100881,526965,5486,34170,100881,526965
104246,563186,3365,36221,104246,563186
105747,598795,1501,35609,105747,598795
120790,629541,15043,30746,120790,629541
126020,657070,5230,27529,126020,657070
127782,683636,1762,26566,127782,683636
133386,712731,5604,29095,133386,712731
134583,741051,1197,28320,134583,741051
137407,769053,2824,28002,137407,769053
139730,794284,2323,25231,139730,794284
147640,816650,7910,22366,147640,816650
152043,840241,4403,23591,152043,840241
153261,867599,1218,27358,153261,867599
162467,894126,9206,26527,162467,894126
166826,921822,4359,27696,166826,921822
171701,953028,4875,31206,171701,953028
178000,986104,6299,33076,178000,986104
182234,1023724,4234,37620,182234,1023724
186862,1060873,4628,37149,186862,1060873
195586,1093911,8724,33038,195586,1093911
202660,1123981,7074,30070,202660,1123981
207061,1154042,4401,30061,207061,1154042
210862,1186731,3801,32689,210862,1186731
218543,1219081,7681,32350,218543,1219081
226703,1245455,8160,26374,226703,1245455
227905,1270685,1202,25230,227905,1270685
232164,1296119,4259,25434,232164,1296119
237066,1324720,4902,28601,237066,1324720
241905,1353058,4839,28338,241905,1353058
245173,1381612,3268,28554,245173,1381612
248957,1407266,3784,25654,248957,1407266
251737,1428715,2780,21449,251737,1428715
254179,1450566,2442,21851,254179,1450566
263029,1474693,8850,24127,263029,1474693
276201,1503119,13172,28426,276201,1503119
277483,1536608,1282,33489,277483,1536608
286314,1571492,8831,34884,286314,1571492
290784,1607397,4470,35905,290784,1607397
294875,1646637,4091,39240,294875,1646637
298859,1684251,3984,37614,298859,1684251
312474,1720809,13615,36558,312474,1720809
316779,1757701,4305,36892,316779,1757701
321568,1794134,4789,36433,321568,1794134
325120,1833352,3552,39218,325120,1833352
333356,1872511,8236,39159,333356,1872511
340390,1906175,7034,33664,340390,1906175
346068,1937142,5678,30967,346068,1937142
347293,1970563,1225,33421,347293,1970563
351925,2004277,4632,33714,351925,2004277
354063,2035714,2138,31437,354063,2035714
360597,2066410,6534,30696,360597,2066410
362238,2092757,1641,26347,362238,2092757
367720,2115745,5482,22988,367720,2115745
372165,2140610,4445,24865,372165,2140610
374407,2166635,2242,26025,374407,2166635
381947,2192193,7540,25558,381947,2192193
387516,2220308,5569,28115,387516,2220308
394130,2250790,6614,30482,394130,2250790
399564,2282757,5434,31967,399564,2282757
403711,2317072,4147,34315,403711,2317072
407712,2352181,4001,35109,407712,2352181
415664,2384560,7952,32379,415664,2384560
424375,2415718,8711,31158,424375,2415718
428801,2444541,4426,28823,428801,2444541
432653,2477901,3852,33360,432653,2477901
440044,2511529,7391,33628,440044,2511529
448822,2538752,8778,27223,448822,2538752
453121,2565093,4299,26341,453121,2565093
454858,2591734,1737,26641,454858,2591734
458683,2618026,3825,26292,458683,2618026
463500,2645166,4817,27140,463500,2645166
465842,2673305,2342,28139,465842,2673305
466631,2699072,789,25767,466631,2699072
470683,2722157,4052,23085,470683,2722157
473663,2745514,2980,23357,473663,2745514
480589,2770750,6926,25236,480589,2770750
489743,2797011,9154,26261,489743,2797011
497131,2826945,7388,29934,497131,2826945
500725,2859019,3594,32074,500725,2859019
506281,2892772,5556,33753,506281,2892772
510676,2926959,4395,34187,510676,2926959
520701,2958601,10025,31642,520701,2958601
526851,2988070,6150,29469,526851,2988070
530959,3016950,4108,28880,530959,3016950
536917,3047873,5958,30923,536917,3047873
539729,3079889,2812,32016,539729,3079889
548234,3109904,8505,30015,548234,3109904
558201,3136109,9967,26205,558201,3136109
563104,3167398,4903,31289,563104,3167398
565778,3202270,2674,34872,565778,3202270
566336,3236689,558,34419,566336,3236689
571761,3270588,5425,33899,571761,3270588
571761,3303644,0,33056,571761,3303644
579572,3334051,7811,30407,579572,3334051
581328,3364495,1756,30444,581328,3364495
