pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
18448,0,18448,0,18448,0
69040,0,50592,0,69040,0
94679,0,25639,0,94679,0
161208,0,66529,0,161208,0
200664,0,39456,0,200664,0
233869,0,33205,0,233869,0
297523,0,63654,0,297523,0
338633,0,41110,0,338633,0
379632,0,40999,0,379632,0
412447,0,32815,0,412447,0
431941,0,19494,0,431941,0
463058,0,31117,0,463058,0
517381,0,54323,0,517381,0
583486,0,66105,0,583486,0
617767,0,34281,0,617767,0
651330,0,33563,0,651330,0
723610,0,72280,0,723610,0
763328,0,39718,0,763328,0
803944,0,40616,0,803944,0
846713,0,42769,0,846713,0
886499,0,39786,0,886499,0
934590,0,48091,0,934590,0
972423,0,37833,0,972423,0
1029248,0,56825,0,1029248,0
1075663,0,46415,0,1075663,0
1116111,0,40448,0,1116111,0
1149956,0,33845,0,1149956,0
1170068,0,20112,0,1170068,0
1201056,0,30988,0,1201056,0
1255399,0,54343,0,1255399,0
1317302,0,61903,0,1317302,0
1352737,0,35435,0,1352737,0
1389122,0,36385,0,1389122,0
1462392,0,73270,0,1462392,0
1498890,0,36498,0,1498890,0
1535891,0,37001,0,1535891,0
1574698,0,38807,0,1574698,0
1610422,0,35724,0,1610422,0
1628609,0,18187,0,1628609,0
1704063,0,75454,0,1704063,0
1741194,0,37131,0,1741194,0
1807641,0,66447,0,1807641,0
1849076,0,41435,0,1849076,0
1876764,0,27688,0,1876764,0
1904452,0,27688,0,1904452,0
1919281,0,14829,0,1919281,0
1975652,0,56371,0,1975652,0
2013085,0,37433,0,2013085,0
2084281,0,71196,0,2084281,0
2120083,0,35802,0,2120083,0
2155054,0,34971,0,2155054,0
2212046,0,56992,0,2212046,0
2231557,0,19511,0,2231557,0
2294112,0,62555,0,2294112,0
2329614,0,35502,0,2329614,0
2359199,0,29585,0,2359199,0
2411924,0,52725,0,2411924,0
2437905,0,25981,0,2437905,0
2517008,0,79103,0,2517008,0
2558957,0,41949,0,2558957,0
2607374,0,48417,0,2607374,0
2639319,0,31945,0,2639319,0
2665808,0,26489,0,2665808,0
2682812,0,17004,0,2682812,0
2745712,0,62900,0,2745712,0
2800000,0,54288,0,2800000,0
2840548,0,40548,0,2840548,0
2874209,0,33661,0,2874209,0
2948546,0,74337,0,2948546,0
2987336,0,38790,0,2987336,0
3030852,0,43516,0,3030852,0
3073222,0,42370,0,3073222,0
3119506,0,46284,0,3119506,0
3164092,0,44586,0,3164092,0
3214495,0,50403,0,3214495,0
3274520,0,60025,0,3274520,0
3313976,0,39456,0,3313976,0
3355196,0,41220,0,3355196,0
3388041,0,32845,0,3388041,0
3421181,0,33140,0,3421181,0
3438573,0,17392,0,3438573,0
3501060,0,62487,0,3501060,0
3555640,0,54580,0,3555640,0
3599562,0,43922,0,3599562,0
3633968,0,34406,0,3633968,0
3707110,0,73142,0,3707110,0
3743228,0,36118,0,3743228,0
3796741,0,53513,0,3796741,0
3822568,0,25827,0,3822568,0
3863171,0,40603,0,3863171,0
3893083,0,29912,0,3893083,0
3933311,0,40228,0,3933311,0
