pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
56201,0,44961,0,44961,0
63946,0,6196,0,51157,0
285247,0,177041,0,228198,0
323200,0,30362,0,258560,0
323200,0,0,0,258560,0
323200,0,0,0,258560,0
323200,0,0,0,258560,0
562521,0,191457,0,450017,0
587571,0,20040,0,470057,0
587571,0,0,0,470057,0
674252,0,69345,0,539402,0
698559,0,19446,0,558847,0
715028,0,13175,0,572022,0
741049,0,20817,0,592839,0
750213,0,7331,0,600170,0
750213,0,0,0,600170,0
750213,0,0,0,600170,0
972992,0,178223,0,778394,0
991629,0,18637,0,797031,0
999081,0,7452,0,804483,0
1019771,0,20690,0,825173,0
1019771,0,0,0,825173,0
1058610,0,38839,0,864012,0
1066458,0,7848,0,871860,0
1066458,0,0,0,871860,0
1274473,0,208015,0,1079875,0
1274473,0,0,0,1079875,0
1274473,0,0,0,1079875,0
1274473,0,0,0,1079875,0
1461254,0,186781,0,1266656,0
1468518,0,7264,0,1273920,0
1477992,0,9474,0,1283394,0
1515823,0,37831,0,1321225,0
1559127,0,43304,0,1364529,0
1577847,0,18720,0,1383249,0
1595809,0,17962,0,1401211,0
1602928,0,7119,0,1408330,0
1609963,0,7035,0,1415365,0
1609963,0,0,0,1415365,0
1801485,0,191522,0,1606887,0
1819220,0,17735,0,1624622,0
1837433,0,18213,0,1642835,0
1846793,0,9360,0,1652195,0
1870190,0,23397,0,1675592,0
1870190,0,0,0,1675592,0
1906616,0,36426,0,1712018,0
1927651,0,21035,0,1733053,0
1927651,0,0,0,1733053,0
2143847,0,216196,0,1949249,0
2143847,0,0,0,1949249,0
2143847,0,0,0,1949249,0
2143847,0,0,0,1949249,0
2326945,0,183098,0,2132347,0
2326945,0,0,0,2132347,0
2347778,0,20833,0,2153180,0
2388687,0,40909,0,2194089,0
2406571,0,17884,0,2211973,0
2425597,0,19026,0,2230999,0
2444911,0,19314,0,2250313,0
2461622,0,16711,0,2267024,0
2461622,0,0,0,2267024,0
2461622,0,0,0,2267024,0
2642280,0,180658,0,2447682,0
2659820,0,17540,0,2465222,0
2678570,0,18750,0,2483972,0
2687711,0,9141,0,2493113,0
2702030,0,14319,0,2507432,0
2702030,0,0,0,2507432,0
2745851,0,43821,0,2551253,0
2775344,0,29493,0,2580746,0
2775344,0,0,0,2580746,0
2775344,0,0,0,2580746,0
2954224,0,178880,0,2759626,0
2983372,0,29148,0,2788774,0
2983372,0,0,0,2788774,0
2983372,0,0,0,2788774,0
3156990,0,173618,0,2962392,0
3173375,0,16385,0,2978777,0
3187072,0,13697,0,2992474,0
3228413,0,41341,0,3033815,0
3246602,0,18189,0,3052004,0
3259893,0,13291,0,3065295,0
3287275,0,27382,0,3092677,0
3294362,0,7087,0,3099764,0
3294362,0,0,0,3099764,0
3485094,0,190732,0,3290496,0
3492311,0,7217,0,3297713,0
3503135,0,10824,0,3308537,0
3535609,0,32474,0,3341011,0
3551851,0,16242,0,3357253,0
3562187,0,10336,0,3367589,0
3577352,0,15165,0,3382754,0
3624134,0,46782,0,3429536,0
3639824,0,15690,0,3445226,0
3639824,0,0,0,3445226,0
3639824,0,0,0,3445226,0
3842129,0,202305,0,3647531,0
3859232,0,17103,0,3664634,0
3859232,0,0,0,3664634,0
3859232,0,0,0,3664634,0
4036602,0,177370,0,3842004,0
