pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
21016,0,21016,0,21016,0
60773,131,39757,131,60773,131
116706,490,55933,359,116706,490
191138,1167,74432,677,191138,1167
217859,2550,26721,1383,217859,2550
286594,4021,68735,1471,286594,4021
318097,6587,31503,2566,318097,6587
383796,10440,65699,3853,383796,10440
429569,15087,45773,4647,429569,15087
484049,20749,54480,5662,484049,20749
529637,25992,45588,5243,529637,25992
579334,30997,49697,5005,579334,30997
626496,36254,47162,5257,626496,36254
666499,41913,40003,5659,666499,41913
699666,46639,33167,4726,699666,46639
734731,49852,35065,3213,734731,49852
760086,51932,25355,2080,760086,51932
810708,53356,50622,1424,810708,53356
865046,54789,54338,1433,865046,54789
923051,56522,58005,1733,923051,56522
970394,58402,47343,1880,970394,58402
1004675,59994,34281,1592,1004675,59994
1047337,61366,42662,1372,1047337,61366
1086058,63298,38721,1932,1086058,63298
1086058,65137,0,1839,1086058,65137
1106567,67071,20509,1934,1106567,67071
1142311,69070,35744,1999,1142311,69070
1182921,71365,40610,2295,1182921,71365
1218284,74510,35363,3145,1218284,74510
1262802,77627,44518,3117,1262802,77627
1287168,80303,24366,2676,1287168,80303
1324021,82567,36853,2264,1324021,82567
1376253,84618,52232,2051,1376253,84618
1436215,86818,59962,2200,1436215,86818
1478383,88623,42168,1805,1478383,88623
1546553,90184,68170,1561,1546553,90184
1585457,91837,38904,1653,1585457,91837
1628600,93042,43143,1205,1628600,93042
1671685,94247,43085,1205,1671685,94247
1708191,96040,36506,1793,1708191,96040
1725716,97879,17525,1839,1725716,97879
1730804,99872,5088,1993,1730804,99872
1752697,101835,21893,1963,1752697,101835
1781723,103504,29026,1669,1781723,103504
1814318,105743,32595,2239,1814318,105743
1836818,108506,22500,2763,1836818,108506
1877473,110721,33879,2215,1870697,110721
1917318,112902,33204,2181,1903901,112902
1962532,115005,37678,2103,1941580,115005
2007173,117179,37201,2174,1978781,117179
2057314,119121,41784,1942,2020565,119121
2078798,120822,17903,1701,2038468,120822
2162171,122495,69478,1673,2107946,122495
2196960,124733,28991,2238,2136936,124733
2251650,127465,45575,2732,2182511,127465
2314905,131123,52713,3658,2235224,131123
2382851,135515,56622,4392,2291846,135515
2433741,140129,42408,4614,2334254,140129
2468820,144366,29233,4237,2363486,144366
2496468,148020,23040,3654,2386526,148020
2539371,152132,35753,4112,2422279,152132
2572241,156439,27392,4307,2449671,156439
2616492,160730,36876,4291,2486546,160730
2668098,164209,43005,3479,2529551,164209
2706071,166551,31644,2342,2561196,166551
2747323,168267,34377,1716,2595572,168267
2783185,169856,29885,1589,2625457,169856
2872760,170970,74646,1114,2700103,170970
2922485,171498,41438,528,2741541,171498
2969604,171591,39266,93,2780806,171591
3056718,172147,72595,556,2853401,172147
3097233,173677,33763,1530,2887164,173677
3126460,175191,24356,1514,2911520,175191
3184988,176798,48773,1607,2960293,176798
3216940,178869,26627,2071,2986920,178869
3245998,180924,24215,2055,3011135,180924
3275316,183845,24432,2921,3035566,183845
3325448,186902,41777,3057,3077343,186902
3389926,190527,53732,3625,3131075,190527
3438384,194810,40382,4283,3171456,194810
3489496,199292,42593,4482,3214050,199292
3576885,203432,72824,4140,3286874,203432
3675292,207729,82006,4297,3368880,207729
3760128,211542,70697,3813,3439576,211542
