pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
52490,0,52490,0,52490,0
112272,0,59782,0,112272,0
128094,114,15822,114,128094,114
194794,605,66700,491,194794,605
247801,1096,53007,491,247801,1096
268611,1634,20810,538,268611,1634
330119,2419,61508,785,330119,2419
373103,3204,42984,785,373103,3204
407613,3989,34510,785,407613,3989
437167,4774,29554,785,437167,4774
465426,5453,28259,679,465426,5453
517986,5944,52560,491,517986,5944
544399,6427,26413,483,544399,6427
584265,6721,39866,294,584265,6721
615139,7015,30874,294,615139,7015
648368,7262,33229,247,648368,7262
686469,7262,38101,0,686469,7262
720967,7262,34498,0,720967,7262
793204,7344,72237,82,793204,7344
823236,7638,30032,294,823236,7638
866184,7932,42948,294,866184,7932
890104,8226,23920,294,890104,8226
923362,8520,33258,294,923362,8520
954451,8814,31089,294,954451,8814
993668,9108,39217,294,993668,9108
1034909,9402,41241,294,1034909,9402
1064770,9696,29861,294,1064770,9696
1091349,9990,26579,294,1091349,9990
1114862,10202,23513,212,1114862,10202
1164104,10202,49242,0,1164104,10202
1209543,10202,45439,0,1209543,10202
1257488,10202,47945,0,1257488,10202
1286806,10312,29318,110,1286806,10312
1351818,10508,65012,196,1351818,10508
1400549,10857,48731,349,1400549,10857
1400549,11348,0,491,1400549,11348
1450060,11839,49511,491,1450060,11839
1492293,12330,42233,491,1492293,12330
1513987,12821,21694,491,1513987,12821
1547687,13312,33700,491,1547687,13312
1581809,13803,34122,491,1581809,13803
1608265,14294,26456,491,1608265,14294
1647658,14675,39393,381,1647658,14675
1683993,14969,36335,294,1683993,14969
1725746,15110,41753,141,1725746,15110
1749289,15110,23543,0,1749289,15110
1805306,15110,56017,0,1805306,15110
1849546,15228,44240,118,1849546,15228
1885517,15522,35971,294,1885517,15522
1919233,15816,33716,294,1919233,15816
1941709,16110,22476,294,1941709,16110
1981427,16404,39718,294,1981427,16404
2028826,16698,47399,294,2028826,16698
2059078,16992,30252,294,2059078,16992
2106916,17286,47838,294,2106916,17286
2139754,17580,32838,294,2139754,17580
2167305,17874,27551,294,2167305,17874
2190942,18051,23637,177,2190942,18051
2260131,18051,69189,0,2260131,18051
2296041,18051,35910,0,2296041,18051
2350372,18051,54331,0,2350372,18051
2382067,18200,31695,149,2382067,18200
2465179,18396,83112,196,2465179,18396
2497270,18757,32091,361,2497270,18757
2518931,19248,21661,491,2518931,19248
2568734,19739,49803,491,2568734,19739
2610347,20230,41613,491,2610347,20230
2641006,20721,30659,491,2641006,20721
2683532,21212,42526,491,2683532,21212
2708237,21703,24705,491,2708237,21703
2747120,22194,38883,491,2747120,22194
2794191,22535,47071,341,2794191,22535
2829057,22829,34866,294,2829057,22829
2867178,22959,38121,130,2867178,22959
2894266,22959,27088,0,2894266,22959
2972152,22959,77886,0,2972152,22959
3020279,23124,48127,165,3020279,23124
3046914,23418,26635,294,3046914,23418
3084596,23712,37682,294,3084596,23712
3109265,24006,24669,294,3109265,24006
3157418,24300,48153,294,3157418,24300
3193047,24594,35629,294,3193047,24594
3233362,24888,40315,294,3233362,24888
3266453,25182,33091,294,3266453,25182
3304111,25476,37658,294,3304111,25476
3332176,25770,28065,294,3332176,25770
3371254,25900,39078,130,3371254,25900
3398827,25900,27573,0,3398827,25900
3440002,25900,41175,0,3440002,25900
3496742,25900,56740,0,3496742,25900
3520886,25947,24144,47,3520886,25947
3567218,26143,46332,196,3567218,26143
3618171,26339,50953,196,3618171,26339
3656791,26547,38620,208,3656791,26547
3702697,27038,45906,491,3702697,27038
3788016,27529,85319,491,3788016,27529
3815143,28020,27127,491,3815143,28020
3841444,28511,26301,491,3841444,28511
3906683,29002,65239,491,3906683,29002
3918141,29493,11458,491,3918141,29493
