pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
37423,0,37423,0,37423,0
85211,131,47788,131,85211,131
213723,1372,128512,1241,213723,1372
254560,4729,40837,3357,254560,4729
306786,10020,52226,5291,306786,10020
377336,15550,70550,5530,377336,15550
425174,21718,47838,6168,425174,21718
454324,28397,29150,6679,454324,28397
483061,35701,28737,7304,483061,35701
515869,41806,32808,6105,515869,41806
549951,47323,34082,5517,549951,47323
599757,51492,49806,4169,599757,51492
636690,54523,36933,3031,636690,54523
658802,57780,22112,3257,658802,57780
684524,61027,25722,3247,684524,61027
710235,63453,25711,2426,710235,63453
725017,64910,14782,1457,725017,64910
765036,65924,40019,1014,765036,65924
799089,66785,34053,861,799089,66785
830309,67790,31220,1005,830309,67790
838811,68768,8502,978,838811,68768
923898,69899,85087,1131,923898,69899
970741,72729,46843,2830,970741,72729
996575,77859,25834,5130,996575,77859
1016205,82343,19630,4484,1016205,82343
1041575,84291,25370,1948,1041575,84291
1080252,85532,38677,1241,1080252,85532
1123376,86214,43124,682,1123376,86214
1150185,87856,26809,1642,1150185,87856
1179137,90956,28952,3100,1179137,90956
1204656,95302,25519,4346,1204656,95302
1233149,98723,28493,3421,1233149,98723
1274570,101070,41421,2347,1274570,101070
1335438,103378,60868,2308,1335438,103378
1338643,108107,3205,4729,1338643,108107
1396841,113517,58198,5410,1396841,113517
1453287,118061,56446,4544,1453287,118061
1498345,123979,45058,5918,1498345,123979
1540646,129508,42301,5529,1540646,129508
1576273,134995,35627,5487,1576273,134995
1608417,139083,32144,4088,1608417,139083
1690963,142665,82546,3582,1690963,142665
1718462,145151,27499,2486,1718462,145151
1741365,146484,22903,1333,1741365,146484
1767809,147918,26444,1434,1767809,147918
1785861,149080,18052,1162,1785861,149080
1807418,150030,21557,950,1807418,150030
1831937,150851,24519,821,1831937,150851
1864990,151551,33053,700,1864990,151551
1893238,152271,28248,720,1893238,152271
1914875,153230,21637,959,1914875,153230
1950803,154746,35928,1516,1950803,154746
1966323,156493,15520,1747,1966323,156493
2022552,158853,56229,2360,2022552,158853
2064277,163807,41725,4954,2064277,163807
2096787,170154,32510,6347,2096787,170154
2130756,174119,33969,3965,2130756,174119
2177966,176352,47210,2233,2177966,176352
2207881,177928,29915,1576,2207881,177928
2250332,179520,42451,1592,2250332,179520
2278839,181951,28507,2431,2278839,181951
2305044,185506,26205,3555,2305044,185506
2324384,188031,19340,2525,2324384,188031
2342975,189425,18591,1394,2342975,189425
2389966,189911,46991,486,2389966,189911
2422253,191540,32287,1629,2422253,191540
2463433,194622,41180,3082,2463433,194622
2536308,198986,72875,4364,2536308,198986
2567270,204624,30962,5638,2567270,204624
2605115,210775,37845,6151,2605115,210775
2643571,217098,38456,6323,2643571,217098
2686645,222326,43074,5228,2686645,222326
2728922,227236,42277,4910,2728922,227236
2780673,231048,51751,3812,2780673,231048
2822864,233653,42191,2605,2822864,233653
2836023,236718,13159,3065,2836023,236718
2876306,239925,40283,3207,2876306,239925
2925064,242825,48758,2900,2925064,242825
2949469,245466,24405,2641,2949469,245466
2992688,247708,43219,2242,2992688,247708
3011317,249676,18629,1968,3011317,249676
3037417,251835,26100,2159,3037417,251835
3060024,253810,22607,1975,3060024,253810
3100325,255209,40301,1399,3100325,255209
3148945,257903,48620,2694,3148945,257903
3172847,262819,23902,4916,3172847,262819
3192421,267148,19574,4329,3192421,267148
3215791,268656,23370,1508,3215791,268656
3238394,269418,22603,762,3238394,269418
3267124,270151,28730,733,3267124,270151
3283525,271732,16401,1581,3283525,271732
3316958,274068,33433,2336,3316958,274068
3360398,276961,43440,2893,3360398,276961
3384712,279409,24314,2448,3384712,279409
3436380,281066,51668,1657,3436380,281066
3550492,282607,114112,1541,3550492,282607
3606158,285853,55666,3246,3606158,285853
3675894,290966,69736,5113,3675894,290966
