pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
38162,0,38162,0,38162,0
159419,50,121257,50,159419,50
225638,134,66219,84,225638,134
300967,338,75329,204,300967,338
373880,820,72913,482,373880,820
427480,1508,53600,688,427480,1508
459640,2209,32160,701,459640,2209
487000,2763,27360,554,487000,2763
537383,2962,50383,199,537383,2962
568214,3132,30831,170,568214,3132
590350,3367,22136,235,590350,3367
644420,3581,54070,214,644420,3581
670815,3879,26395,298,670815,3879
699985,4109,29170,230,699985,4109
742350,4287,42365,178,742350,4287
812171,4469,69821,182,812171,4469
842039,4713,29868,244,842039,4713
864683,5005,22644,292,864683,5005
891566,5270,26883,265,891566,5270
919963,5513,28397,243,919963,5513
947931,5697,27968,184,947931,5697
989040,5881,41109,184,989040,5881
1017969,5966,28929,85,1017969,5966
1034860,6165,16891,199,1034860,6165
1056835,6534,21975,369,1056835,6534
1074003,6987,17168,453,1074003,6987
1111811,7308,37808,321,1111811,7308
1197141,7492,85330,184,1197141,7492
1262602,7765,65461,273,1262602,7765
1291529,8134,28927,369,1291529,8134
1395908,8527,104379,393,1395908,8527
1445248,8903,49340,376,1445248,8903
1484720,9315,39472,412,1484720,9315
1511945,9916,27225,601,1511945,9916
1548551,10463,36606,547,1548551,10463
1595572,10903,47021,440,1595572,10903
1617492,11122,21920,219,1617492,11122
1634726,11206,17234,84,1634726,11206
1686404,11262,51678,56,1686404,11262
1723932,11437,37528,175,1723932,11437
1753361,11719,29429,282,1753361,11719
1838559,12135,85198,416,1838559,12135
1851751,12709,13192,574,1851751,12709
1892826,13310,41075,601,1892826,13310
1909518,13810,16692,500,1909518,13810
1931137,14048,21619,238,1931137,14048
1947434,14192,16297,144,1947434,14192
2002364,14276,54930,84,2002364,14276
2024340,14370,21976,94,2024340,14370
2047118,14467,22778,97,2047118,14467
2068909,14551,21791,84,2068909,14551
2099695,14635,30786,84,2099695,14635
2099695,14652,0,17,2099695,14652
2161141,14689,61446,37,2161141,14689
2251494,14790,90353,101,2251494,14790
2326284,15038,74790,248,2326284,15038
2417874,15379,91590,341,2417874,15379
2485733,15805,67859,426,2485733,15805
2524177,16302,38444,497,2524177,16302
2547299,16771,23122,469,2547299,16771
2596868,17335,49569,564,2596868,17335
2623323,17788,26455,453,2623323,17788
2657809,18157,34486,369,2657809,18157
2685824,18424,28015,267,2685824,18424
2726090,18649,40266,225,2726090,18649
2759847,19049,33757,400,2759847,19049
2801111,19619,41264,570,2801111,19619
2875033,20209,73922,590,2875033,20209
2897498,20769,22465,560,2897498,20769
2926047,21155,28549,386,2926047,21155
2955307,21374,29260,219,2955307,21374
2977095,21509,21788,135,2977095,21509
2993422,21509,16327,0,2993422,21509
3019075,21509,25653,0,3019075,21509
3073181,21579,54106,70,3073181,21579
3096657,21820,23476,241,3096657,21820
3108863,22165,12206,345,3108863,22165
3131822,22557,22959,392,3131822,22557
3150244,22781,18422,224,3150244,22781
3186749,22882,36505,101,3186749,22882
3284043,22919,97294,37,3284043,22919
3347170,23137,63127,218,3347170,23137
3404206,23390,57036,253,3404206,23390
3474427,23749,70221,359,3474427,23749
3528422,24162,53995,413,3528422,24162
3560819,24736,32397,574,3560819,24736
3589043,25477,28224,741,3589043,25477
3640425,26120,51382,643,3640425,26120
3675474,26563,35049,443,3675474,26563
3699100,26800,23626,237,3699100,26800
3752102,26968,53002,168,3752102,26968
3777272,27169,25170,201,3777272,27169
3804368,27552,27096,383,3804368,27552
3848356,27954,43988,402,3848356,27954
3917802,27954,69446,0,3917802,27954
