pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
37713,0,37713,0,37713,0
93224,0,55511,0,93224,0
137736,0,44512,0,137736,0
201535,0,63799,0,201535,0
221978,0,20443,0,221978,0
257437,0,35459,0,257437,0
287593,0,30156,0,287593,0
323977,0,36384,0,323977,0
368869,0,44892,0,368869,0
389170,0,20301,0,389170,0
427094,0,37924,0,427094,0
483493,0,56399,0,483493,0
536392,0,52899,0,536392,0
587891,0,51499,0,587891,0
631865,0,43974,0,631865,0
686707,0,54842,0,686707,0
710790,0,24083,0,710790,0
734671,0,23881,0,734671,0
768362,0,33691,0,768362,0
788462,0,20100,0,788462,0
823190,0,34728,0,823190,0
836547,0,13357,0,836547,0
951327,0,114780,0,951327,0
996002,0,44675,0,996002,0
1027474,0,31472,0,1027474,0
1075083,0,47609,0,1075083,0
1108871,0,33788,0,1108871,0
1137099,0,28228,0,1137099,0
1156662,0,19563,0,1156662,0
1214771,0,58109,0,1214771,0
1235906,0,21135,0,1235906,0
1275110,0,39204,0,1275110,0
1302846,0,27736,0,1302846,0
1379751,0,76905,0,1379751,0
1430469,0,50718,0,1430469,0
1462342,0,31873,0,1462342,0
1520952,0,58610,0,1520952,0
1552500,0,31548,0,1552500,0
1586474,0,33974,0,1586474,0
1608164,0,21690,0,1608164,0
1647630,0,39466,0,1647630,0
1669687,0,22057,0,1669687,0
1692245,0,22558,0,1692245,0
1776348,0,84103,0,1776348,0
1802181,0,25833,0,1802181,0
1849723,0,47542,0,1849723,0
1910453,0,60730,0,1910453,0
1939197,0,28744,0,1939197,0
1971594,0,32397,0,1971594,0
2003746,0,32152,0,2003746,0
2019161,0,15415,0,2019161,0
2081051,0,61890,0,2081051,0
2118249,0,37198,0,2118249,0
2149308,0,31059,0,2149308,0
2213449,0,64141,0,2213449,0
2230132,0,16683,0,2230132,0
2293943,0,63811,0,2293943,0
2343237,0,49294,0,2343237,0
2389109,0,45872,0,2389109,0
2408617,0,19508,0,2408617,0
2441821,0,33204,0,2441821,0
2480068,0,38247,0,2480068,0
2502540,0,22472,0,2502540,0
2533718,0,31178,0,2533718,0
2583198,0,49480,0,2583198,0
2644713,0,61515,0,2644713,0
2690628,0,45915,0,2690628,0
2751521,0,60893,0,2751521,0
2779839,0,28318,0,2779839,0
2797966,0,18127,0,2797966,0
2826559,0,28593,0,2826559,0
2861596,0,35037,0,2861596,0
2906667,0,45071,0,2906667,0
2928077,0,21410,0,2928077,0
2967557,0,39480,0,2967557,0
3026335,0,58778,0,3026335,0
3074605,0,48270,0,3074605,0
3126762,0,52157,0,3126762,0
3175419,0,48657,0,3175419,0
3220630,0,45211,0,3220630,0
3243948,0,23318,0,3243948,0
3268291,0,24343,0,3268291,0
3316861,0,48570,0,3316861,0
3348243,0,31382,0,3348243,0
3366471,0,18228,0,3366471,0
3380339,0,13868,0,3380339,0
3490032,0,109693,0,3490032,0
3538686,0,48654,0,3538686,0
3568304,0,29618,0,3568304,0
3611439,0,43135,0,3611439,0
3645181,0,33742,0,3645181,0
3675734,0,30553,0,3675734,0
3708259,0,32525,0,3708259,0
3752088,0,43829,0,3752088,0
3773217,0,21129,0,3773217,0
3809517,0,36300,0,3809517,0
3838940,0,29423,0,3838940,0
3867837,0,28897,0,3867837,0
3969966,0,102129,0,3969966,0
