pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
19463,0,16219,0,16219,0
84447,0,54153,0,70373,0
175529,44,75902,44,146274,44
236255,596,50605,552,196879,596
301225,1148,54142,552,251021,1148
323870,1700,18871,552,269892,1700
378243,2252,45311,552,315203,2252
428176,2804,41611,552,356813,2804
460986,3356,27342,552,384155,3356
504072,3908,35905,552,420060,3908
535238,4416,25972,508,446032,4416
571297,4416,30049,0,476081,4416
631240,4416,49953,0,526033,4416
631240,4416,0,0,526033,4416
681889,4416,42208,0,568241,4416
759325,4416,64530,0,632771,4416
811197,4416,51872,0,684643,4416
857666,4880,46469,464,731112,4880
871577,5432,13911,552,745023,5432
898080,5984,26503,552,771526,5984
919691,6536,21611,552,793137,6536
950299,7088,30608,552,823745,7088
975039,7640,24740,552,848485,7640
997080,8192,22041,552,870526,8192
1026783,8744,29703,552,900229,8744
1044459,8832,17676,88,917905,8832
1062038,8832,17579,0,935484,8832
1105415,8832,43377,0,978861,8832
1211872,8832,106457,0,1085318,8832
1273931,9318,62059,486,1147377,9318
1307008,9870,33077,552,1180454,9870
1319331,10422,12323,552,1192777,10422
1372339,10974,53008,552,1245785,10974
1418943,11526,46604,552,1292389,11526
1438866,12078,19923,552,1312312,12078
1474460,12630,35594,552,1347906,12630
1512820,13182,38360,552,1386266,13182
1546473,13248,33653,66,1419919,13248
1589430,13248,42957,0,1462876,13248
1609851,13248,20421,0,1483297,13248
1635280,13248,25429,0,1508726,13248
1697308,13248,62028,0,1570754,13248
1732289,13248,34981,0,1605735,13248
1797579,13248,65290,0,1671025,13248
1814560,13425,16981,177,1688006,13425
1845633,13977,31073,552,1719079,13977
1862212,14529,16579,552,1735658,14529
1879255,15081,17043,552,1752701,15081
1907798,15633,28543,552,1781244,15633
1945416,16185,31348,552,1812592,16185
1962434,16737,14182,552,1826774,16737
1994215,17289,26484,552,1853258,17289
2015988,17664,18144,375,1871402,17664
2068393,17664,43671,0,1915073,17664
2150612,17664,68516,0,1983589,17664
2253849,17774,86031,110,2069620,17774
2317154,18326,52754,552,2122374,18326
2347179,18878,25021,552,2147395,18878
2395285,19430,40088,552,2187483,19430
2449627,19982,45285,552,2232768,19982
2481188,20534,26301,552,2259069,20534
2504651,21086,19553,552,2278621,21086
2563508,21638,49048,552,2327669,21638
2610031,22080,38769,442,2366438,22080
2657588,22080,39631,0,2406069,22080
2657588,22080,0,0,2406069,22080
2697535,22080,33289,0,2439358,22080
2778365,22080,67358,0,2506716,22080
2842779,22080,53678,0,2560395,22080
2898955,22588,46813,508,2607208,22588
2915430,23140,13729,552,2620937,23140
2947772,23692,26952,552,2647889,23692
2975138,24244,22805,552,2670694,24244
3014217,24796,32566,552,2703260,24796
3045417,25348,26000,552,2729260,25348
3071369,25900,21627,552,2750886,25900
3107207,26452,29865,552,2780751,26452
3107207,26496,0,44,2780751,26496
3150121,26496,35762,0,2816513,26496
3201000,26496,42399,0,2858912,26496
3328865,26496,106554,0,2965466,26496
3401387,26916,60435,420,3025901,26916
3432170,27468,25653,552,3051554,27468
3482956,28020,42322,552,3093876,28020
3515335,28572,26983,552,3120858,28572
3555797,29124,33718,552,3154576,29124
3601236,29676,37866,552,3192442,29676
3648126,30228,39075,552,3231517,30228
3678401,30780,25229,552,3256746,30780
3739488,30912,50906,132,3307652,30912
3769601,30912,25094,0,3332746,30912
3791864,30912,18553,0,3351299,30912
3830335,30912,32059,0,3383358,30912
