pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
31997,487,31997,487,31997,487
95679,2245,63682,1758,95679,2245
170377,4794,74698,2549,170377,4794
232855,9206,62478,4412,232855,9206
291328,14938,58473,5732,291328,14938
328526,22575,37198,7637,328526,22575
363675,30226,35149,7651,363675,30226
390549,36715,26874,6489,390549,36715
419301,42640,28752,5925,419301,42640
438992,48061,19691,5421,438992,48061
476047,52574,37055,4513,476047,52574
509621,56128,33574,3554,509621,56128
547088,58780,37467,2652,547088,58780
598552,60661,51464,1881,598552,60661
664380,62737,65828,2076,664380,62737
700089,66558,35709,3821,700089,66558
735063,71775,34974,5217,735063,71775
760255,76646,25192,4871,760255,76646
789772,80485,29517,3839,789772,80485
838568,83383,48796,2898,838568,83383
890782,85784,52214,2401,890782,85784
916696,88540,25914,2756,916696,88540
949621,91465,32925,2925,949621,91465
956630,95098,7009,3633,956630,95098
992909,99162,36279,4064,992909,99162
1026582,103141,33673,3979,1026582,103141
1061239,107825,34657,4684,1061239,107825
1093998,112166,32759,4341,1093998,112166
1139155,116837,45157,4671,1139155,116837
1173084,121877,33929,5040,1173084,121877
1211342,125834,38258,3957,1211342,125834
1239090,128338,27748,2504,1239090,128338
1254392,130271,15302,1933,1254392,130271
1279120,132136,24728,1865,1279120,132136
1320291,133684,41171,1548,1320291,133684
1362072,134903,41781,1219,1362072,134903
1387058,135963,24986,1060,1387058,135963
1457756,137859,70698,1896,1457756,137859
1507579,141435,49823,3576,1507579,141435
1528662,146320,21083,4885,1528662,146320
1554785,151280,26123,4960,1554785,151280
1579555,154561,24770,3281,1579555,154561
1610185,156254,30630,1693,1610185,156254
1618616,157577,8431,1323,1618616,157577
1642304,158635,23688,1058,1642304,158635
1665163,159786,22859,1151,1665163,159786
1693554,160871,28391,1085,1693554,160871
1732111,162048,38557,1177,1732111,162048
1776651,163902,44540,1854,1776651,163902
1817287,166786,33863,2884,1810514,166786
1845801,171297,23762,4511,1834276,171297
1898854,177011,44211,5714,1878487,177011
1936471,182818,31348,5807,1909834,182818
1963947,187950,22897,5132,1932731,187950
1994301,192619,25295,4669,1958026,192619
2036023,196019,34768,3400,1992794,196019
2073344,198426,31101,2407,2023895,198426
2120931,200304,39656,1878,2063551,200304
2155242,201865,28593,1561,2092144,201865
2213832,203320,48825,1455,2140969,203320
2238191,204775,20299,1455,2161268,204775
2281164,206085,35811,1310,2197079,206085
2345302,207117,53448,1032,2250527,207117
2372457,208667,22629,1550,2273156,208667
2432009,211154,49627,2487,2322783,211154
2455523,215255,19595,4101,2342378,215255
2489863,219647,28617,4392,2370994,219647
2517812,223589,23291,3942,2394285,223589
2550198,226922,26988,3333,2421274,226922
2590016,230295,33182,3373,2454455,230295
2613600,233298,19653,3003,2474109,233298
2643446,235970,24872,2672,2498980,235970
2665642,238139,18497,2169,2517477,238139
2713702,239992,40050,1853,2557527,239992
2825605,242112,93253,2120,2650779,242112
2891337,244624,54777,2512,2705556,244624
2978185,247544,72373,2920,2777929,247544
3022822,251298,37198,3754,2815127,251298
3060504,255364,31402,4066,2846529,255364
3066451,259005,4956,3641,2851484,259005
3114649,261559,40165,2554,2891649,261559
3152930,264308,31901,2749,2923550,264308
3205690,267584,43967,3276,2967517,267584
3232382,270653,22243,3069,2989760,270653
3288918,272918,47113,2265,3036874,272918
3327568,275748,32208,2830,3069082,275748
3382564,278485,45830,2737,3114912,278485
3400450,281922,14905,3437,3129817,281922
3465394,286421,54120,4499,3183937,286421
3506199,291591,34004,5170,3217941,291591
3544493,296008,31912,4417,3249853,296008
3583143,299541,32208,3533,3282061,299541
3656312,302665,60974,3124,3343035,302665
3673861,302665,14624,0,3357659,302665
