pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
48009,0,48009,0,48009,0
55383,0,7374,0,55383,0
228479,0,173096,0,228479,0
228479,0,0,0,228479,0
228479,0,0,0,228479,0
374927,0,146448,0,374927,0
400568,0,25641,0,400568,0
408883,0,8315,0,408883,0
420104,0,11221,0,420104,0
449132,0,29028,0,449132,0
515245,0,66113,0,515245,0
524891,0,9646,0,524891,0
524891,0,0,0,524891,0
677601,0,152710,0,677601,0
701141,0,23540,0,701141,0
721467,0,20326,0,721467,0
744095,0,22628,0,744095,0
755207,0,11112,0,755207,0
782791,0,27584,0,782791,0
782791,0,0,0,782791,0
782791,0,0,0,782791,0
944211,0,161420,0,944211,0
944211,0,0,0,944211,0
955500,0,9031,0,953242,0
955500,0,0,0,953242,0
1107361,0,121489,0,1074731,0
1163018,0,44526,0,1119257,0
1184173,0,16924,0,1136181,0
1203211,0,15230,0,1151411,0
1224462,0,17001,0,1168412,0
1224462,0,0,0,1168412,0
1259797,0,28268,0,1196680,0
1259797,0,0,0,1196680,0
1378280,0,94786,0,1291466,0
1396646,0,14693,0,1306159,0
1416217,0,15657,0,1321816,0
1431971,0,12603,0,1334419,0
1454545,0,18059,0,1352478,0
1454545,0,0,0,1352478,0
1454545,0,0,0,1352478,0
1454545,0,0,0,1352478,0
1563689,0,87315,0,1439793,0
1563689,0,0,0,1439793,0
1591487,0,22238,0,1462032,0
1591487,0,0,0,1462032,0
1591487,0,0,0,1462032,0
1684700,0,74570,0,1536602,0
1735672,0,40778,0,1577380,0
1755927,0,16204,0,1593584,0
1775747,0,15856,0,1609440,0
1797512,0,17412,0,1626852,0
1797512,0,0,0,1626852,0
1819309,0,17438,0,1644289,0
1847749,0,22752,0,1667041,0
1995910,0,118529,0,1785570,0
2014190,0,14624,0,1800194,0
2030488,0,13038,0,1813233,0
2046807,0,13055,0,1826288,0
2069453,0,18117,0,1844405,0
2069453,0,0,0,1844405,0
2069453,0,0,0,1844405,0
2069453,0,0,0,1844405,0
2190360,0,96726,0,1941130,0
2207428,0,13654,0,1954785,0
2207428,0,0,0,1954785,0
2325348,0,94336,0,2049121,0
2360651,0,28242,0,2077363,0
2387621,0,21576,0,2098939,0
2397700,0,8063,0,2107002,0
2419900,0,17760,0,2124762,0
2443891,0,19193,0,2143955,0
2443891,0,0,0,2143955,0
2475262,0,25097,0,2169052,0
2482359,0,5678,0,2174729,0
2605282,0,98338,0,2273068,0
2624220,0,15150,0,2288218,0
2639468,0,12198,0,2300417,0
2646731,0,5810,0,2306227,0
2656255,0,7619,0,2313846,0
2678935,0,18144,0,2331990,0
2678935,0,0,0,2331990,0
2678935,0,0,0,2331990,0
2833197,0,123410,0,2455400,0
2850347,0,13720,0,2469120,0
2850347,0,0,0,2469120,0
2966202,0,92684,0,2561804,0
2986747,0,16436,0,2578240,0
3029744,0,34398,0,2612637,0
3055041,0,20238,0,2632875,0
3077440,0,17919,0,2650794,0
3105871,0,22745,0,2673539,0
3105871,0,0,0,2673539,0
3151728,0,36686,0,2710225,0
3158703,0,5580,0,2715805,0
3158703,0,0,0,2715805,0
3271041,0,89870,0,2805675,0
3300043,0,23202,0,2828877,0
3307370,0,5862,0,2834738,0
3327418,0,16038,0,2850777,0
3343360,0,12754,0,2863530,0
3358245,0,11908,0,2875438,0
3358245,0,0,0,2875438,0
3358245,0,0,0,2875438,0
3476549,0,94643,0,2970081,0
3476549,0,0,0,2970081,0
3505011,0,22770,0,2992851,0
3505011,0,0,0,2992851,0
3658961,0,123160,0,3116011,0
3693512,0,27641,0,3143652,0
3736170,0,34126,0,3177778,0
3746499,0,8263,0,3186041,0
3768566,0,17654,0,3203695,0
3797464,0,23118,0,3226813,0
3797464,0,0,0,3226813,0
3843217,0,36602,0,3263416,0
3849937,0,5376,0,3268792,0
3969054,0,95294,0,3364085,0
