pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
23868,0,23172,0,23172,0
83278,13,57678,13,80850,13
120331,274,35973,253,116823,266
154179,1060,32861,763,149684,1029
179777,2464,24852,1363,174536,2392
268362,3894,86002,1388,260538,3780
303308,5581,33927,1638,294465,5418
336701,7564,32419,1925,326885,7343
391023,9121,52738,1512,379623,8855
426101,10464,34055,1304,413678,10159
450441,12049,23630,1539,437309,11698
525096,13406,72478,1317,509787,13015
540781,14660,15228,1217,525015,14233
554522,16400,13340,1689,538355,15922
593447,17835,37790,1393,576145,17315
630469,19466,35943,1583,612088,18898
682894,21211,50897,1694,662985,20593
712901,22621,29132,1369,692117,21961
724460,23648,11222,997,703339,22959
746766,24593,21656,917,724994,23876
768173,24985,20783,381,745777,24257
778376,25069,9906,82,755683,24338
783932,25153,5394,82,761077,24420
878496,25348,91807,189,852884,24609
911835,26129,32367,758,885251,25367
946628,27974,33779,1791,919030,27158
997138,29844,49037,1815,968067,28974
1052120,31697,53379,1799,1021446,30773
1069664,33206,17033,1465,1038478,32238
1081007,34060,11012,829,1049491,33067
1085783,34171,4637,108,1054128,33175
1111563,34422,25028,244,1079156,33418
1122231,34673,10357,244,1089513,33662
1157817,35228,34549,539,1124061,34201
1190967,36414,32184,1151,1156245,35352
1231399,38042,39253,1581,1195498,36933
1284878,39675,51920,1585,1247418,38518
1320681,41879,34759,2140,1282177,40658
1345764,44202,24352,2255,1306529,42913
1370036,45891,23564,1640,1330093,44553
1402118,46889,31147,969,1361240,45522
1433400,47756,30370,842,1391610,46364
1457410,48306,23310,534,1414920,46898
1471436,48703,13617,385,1428537,47283
1487560,49221,15654,503,1444191,47786
1544143,49793,54933,555,1499124,48341
1619950,50583,73597,767,1572721,49108
1647534,52173,26780,1544,1599501,50652
1668870,53841,20714,1619,1620215,52271
1683158,55436,13871,1548,1634086,53820
1720092,57160,35857,1674,1669944,55494
1733288,58561,12811,1360,1682755,56854
1741325,59077,7803,501,1690558,57355
1758798,59331,16964,247,1707521,57601
1782796,59582,23298,244,1730819,57845
1805661,59867,22198,277,1753018,58122
1839283,60383,32642,501,1785660,58623
1900438,61437,59372,1023,1845032,59646
1932782,62669,31401,1196,1876433,60842
1957154,64247,23661,1532,1900094,62374
2007721,65848,49093,1554,1949187,63928
2046176,67797,37334,1892,1986521,65820
2077859,69780,30759,1925,2017280,67746
2105930,71412,27253,1584,2044533,69330
2114602,72702,8419,1252,2052952,70582
2141571,73846,26183,1111,2079135,71693
2186767,74483,43878,618,2123013,72311
2208373,74754,20976,263,2143989,72575
2224724,75089,15874,325,2159863,72900
2268871,75426,42860,327,2202723,73227
2309099,76037,39055,593,2241778,73820
2348124,76958,37887,894,2279666,74714
2431123,77863,80579,879,2360245,75593
2470847,79348,38566,1442,2398811,77035
2478647,81384,7573,1977,2406383,79011
2486158,83021,7292,1589,2413675,80601
2537000,84392,49360,1331,2463035,81932
2565973,85853,28128,1418,2491163,83350
2575791,86690,9532,813,2500695,84163
2593512,87199,17204,494,2517899,84657
2632014,87702,37379,488,2555279,85145
2650179,88173,17635,457,2572914,85602
2659346,88836,8900,644,2581814,86246
2690527,89516,30272,660,2612086,86906
2721555,90443,30123,900,2642209,87806
2759290,91984,36635,1496,2678844,89302
2844562,93645,82786,1613,2761630,90915
2887131,95452,41328,1754,2802958,92669
2931020,97632,42609,2116,2845568,94786
2960998,99645,29104,1954,2874672,96740
2982033,101460,20422,1762,2895093,98502
3033382,103330,49852,1815,2944945,100317
3071240,104677,36754,1308,2981699,101625
3140388,106280,67132,1556,3048831,103181
3182944,108426,41315,2083,3090147,105265
3213725,110535,29884,2048,3120030,107312
3244669,112134,30042,1552,3150072,108865
3280023,113642,34323,1464,3184396,110329
3289436,114808,9139,1132,3193534,111461
3296639,115364,6993,540,3200527,112001
3302634,115582,5820,212,3206347,112212
3343602,115833,39774,244,3246121,112456
3379789,116084,35132,244,3281253,112700
3414989,116550,34174,452,3315427,113152
3443421,117709,27603,1125,3343030,114277
3507508,118785,62219,1045,3405248,115322
3556006,120252,47084,1424,3452332,116746
3600256,122133,42960,1826,3495292,118572
3639804,123837,38395,1654,3533687,120227
3661615,124794,21175,929,3554862,121156
3688343,125754,25949,932,3580811,122088
3697162,126479,8562,704,3589373,122792
3712977,126918,15354,426,3604727,123218
3722931,127431,9664,498,3614391,123716
3805650,128055,80307,606,3694698,124322
