pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
40353,23,39043,22,39043,22
69724,269,28417,238,67460,260
91954,1081,21508,786,88968,1046
135780,2083,42403,969,131372,2015
164530,3391,27817,1266,159188,3281
190133,4703,24772,1269,183960,4550
240679,6631,48905,1865,232865,6416
263406,9035,21989,2326,254854,8742
289698,11799,25438,2674,280292,11416
320936,14780,30224,2884,310516,14300
343640,17732,21967,2856,332483,17156
369214,20602,24744,2777,357227,19933
405081,22809,34702,2135,391929,22068
444257,24104,37904,1253,429833,23321
464285,25987,19378,1822,449211,25143
481954,28340,17095,2277,466306,27420
496567,30672,14139,2256,480445,29676
524286,32996,26819,2249,507264,31925
564651,35106,39054,2041,546318,33966
615295,37222,49000,2047,595318,36013
647152,39267,30823,1979,626141,37992
682755,41289,34447,1956,660588,39948
710047,43100,26406,1752,686994,41701
733439,44286,22633,1147,709626,42848
764960,45355,30498,1034,740124,43882
802264,46514,36093,1121,776216,45004
815767,47955,13065,1394,789281,46398
850899,49553,33991,1546,823272,47944
862140,51424,10876,1810,834148,49754
880660,53307,17919,1822,852067,51576
904107,54952,22686,1592,874753,53168
940869,56409,35568,1410,910321,54578
973945,57816,32002,1361,942323,55939
991513,59031,16998,1176,959321,57114
1002344,60067,10479,1002,969800,58117
1037405,61126,33923,1025,1003723,59141
1071183,62161,32681,1001,1036404,60143
1119953,63210,47187,1015,1083591,61158
1149908,64365,28982,1118,1112573,62275
1182627,65715,31657,1306,1144230,63581
1199826,67164,16641,1402,1160871,64983
1229861,68732,29060,1517,1189930,66500
1267317,70247,36240,1466,1226170,67966
1293143,71722,24987,1427,1251158,69393
1316589,73458,22685,1680,1273843,71073
1344265,75172,26777,1658,1300620,72731
1363858,76569,18957,1352,1319577,74083
1391954,78003,27184,1387,1346761,75470
1425577,79366,32531,1319,1379292,76789
1461321,80762,34583,1351,1413876,78140
1489167,82745,26942,1919,1440817,80058
1507313,85139,17557,2316,1458374,82375
1518247,87248,10579,2041,1468953,84415
1552721,89510,33355,2189,1502308,86604
1591911,91677,37918,2097,1540226,88700
1630874,93905,37698,2156,1577924,90856
1659218,96256,27424,2275,1605347,93131
1698442,98658,37950,2324,1643298,95455
1720845,100413,21676,1698,1664973,97153
1737958,101243,16557,803,1681531,97956
1752689,101980,14253,713,1695784,98669
1808372,102650,53875,648,1749659,99317
1833914,103668,24713,985,1774371,100302
1861205,104814,26405,1109,1800776,101411
1882915,106060,21005,1206,1821781,102616
1912485,107640,28610,1529,1850391,104145
1944507,109339,30982,1644,1881374,105789
1986955,111066,41070,1671,1922443,107460
2007008,112860,19402,1736,1941845,109196
2023267,114827,15731,1903,1957577,111099
2043617,116380,19689,1503,1977266,112601
2072940,117831,28371,1404,2005637,114005
2119468,119212,45017,1336,2050654,115341
2157618,120147,36911,905,2087565,116246
2192689,121296,33932,1112,2121498,117358
2225740,123352,31978,1989,2153476,119347
2243480,125148,17164,1738,2170640,121085
2259445,127221,15447,2006,2186086,123090
2305040,129217,44115,1931,2230201,125022
2334202,131317,28215,2032,2258416,127053
2353682,133902,18848,2501,2277264,129555
2381367,136820,26786,2823,2304050,132378
2406547,139204,24362,2307,2328412,134684
2435738,140793,28243,1537,2356656,136222
2475434,143045,38407,2179,2395063,138401
2499233,145853,23026,2717,2418089,141118
2521081,148919,21139,2966,2439228,144084
2535986,151894,14421,2878,2453649,146962
2556248,154768,19604,2781,2473253,149743
2588288,157788,31000,2922,2504253,152665
2634690,160014,44895,2154,2549148,154819
2676908,161287,40847,1232,2589995,156050
2711040,162668,33024,1336,2623019,157387
2732201,163805,20474,1100,2643493,158487
2757320,164804,24303,967,2667797,159453
2787081,165778,28795,942,2696591,160396
2818417,166763,30319,953,2726910,161349
2846089,167827,26774,1029,2753684,162378
2879562,169077,32386,1209,2786070,163587
2898361,171132,18189,1988,2804258,165576
2926907,173562,27619,2351,2831878,167927
2952997,176121,25243,2476,2857120,170403
2980940,178680,27036,2476,2884156,172879
3009408,181159,27544,2399,2911700,175277
3037197,183658,26887,2418,2938587,177695
3051016,185999,13370,2265,2951957,179960
3088004,188023,35787,1958,2987744,181918
3115940,189497,27029,1426,3014773,183345
3155899,190546,38662,1015,3053435,184359
3207169,191548,49605,969,3103040,185329
3233202,192463,25188,885,3128228,186214
3259291,193385,25242,892,3153470,187106
3271286,194195,11606,784,3165075,187890
3302966,195009,30651,788,3195727,188678
3318900,195910,15417,872,3211144,189549
3346334,196786,26543,848,3237687,190397
3382028,197574,34535,762,3272222,191159
3402304,198412,19618,811,3291840,191970
3425963,199304,22891,863,3314730,192833
3456330,199832,29381,511,3344111,193344
3470003,200486,13229,633,3357341,193977
3508869,201421,37604,905,3394945,194881
3528092,202493,18599,1037,3413544,195919
3540856,203858,12350,1321,3425893,197239
3588370,205084,45971,1186,3471864,198425
3622011,206362,32549,1237,3504413,199662
3658518,207844,35322,1434,3539735,201096
3706728,209393,46645,1499,3586380,202595
