pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
45795,150,43447,142,43447,142
78490,1116,31018,916,74465,1059
118936,2353,38372,1174,112837,2232
141048,4053,20978,1613,133815,3845
155914,5617,14104,1484,147918,5329
172994,7645,16204,1924,164123,7253
193494,9970,19449,2206,183571,9459
238702,12935,42890,2813,226461,12272
279202,16226,38423,3122,264884,15394
306603,19517,25996,3122,290880,18516
333272,22414,25301,2748,316181,21265
353474,25324,19166,2761,335347,24025
373358,27949,18864,2490,354211,26516
424637,29921,48649,1871,402861,28387
473441,31675,46301,1664,449162,30051
516864,32804,41196,1071,490358,31122
558816,33634,39801,787,530159,31909
580257,34654,20341,968,550500,32877
600330,35579,19044,878,569544,33754
627527,36259,25802,645,595346,34400
644270,36694,15884,413,611231,34812
673266,37320,27509,594,638740,35406
695899,38680,21472,1290,660212,36696
717316,40298,20319,1535,680531,38231
753913,41821,34720,1445,715251,39676
769519,43371,14806,1471,730056,41147
799268,44867,28223,1419,758280,42566
823920,47070,23388,2090,781668,44656
852552,49667,27164,2464,808831,47120
883717,52808,29567,2980,838398,50100
918893,55841,33372,2877,871770,52977
953698,58629,33020,2645,904790,55622
972582,60966,17916,2217,922706,57840
1010832,63455,36288,2361,958994,60201
1070481,65386,56590,1832,1015585,62033
1090693,67263,19175,1781,1034760,63814
1121574,68677,29297,1341,1064057,65155
1135571,69718,13279,988,1077337,66143
1165341,70922,28243,1142,1105580,67285
1188293,72164,21775,1178,1127355,68463
1210240,73397,20822,1170,1148176,69633
1242993,74613,31073,1154,1179250,70787
1258009,76282,14246,1583,1193496,72370
1274184,78706,15346,2300,1208841,74670
1288841,81172,13905,2340,1222747,77009
1313300,83298,23205,2017,1245951,79026
1371358,85451,55081,2043,1301032,81069
1392992,87311,20525,1765,1321557,82834
1423630,89130,29067,1726,1350623,84559
1454425,91323,29216,2081,1379839,86640
1477721,93657,22101,2214,1401940,88854
1500413,95957,21528,2182,1423469,91036
1537888,97773,35553,1723,1459022,92759
1567569,99433,28159,1575,1487181,94334
1588969,101337,20303,1806,1507483,96140
1615529,103068,25198,1642,1532681,97782
1643273,104890,26321,1729,1559003,99511
1699785,106209,53614,1251,1612617,100762
1725743,107610,24627,1329,1637243,102092
1753621,109323,26448,1625,1663692,103717
1782265,111050,27175,1638,1690867,105355
1813405,112899,29543,1754,1720410,107109
1841350,114762,26512,1767,1746922,108877
1866680,116584,24031,1729,1770953,110605
1884798,118651,17189,1961,1788142,112566
1897927,120840,12456,2077,1800597,114643
1920531,123002,21445,2051,1822042,116694
1945270,124661,23470,1574,1845513,118268
1979796,125776,32755,1058,1878268,119326
1992901,127435,12433,1574,1890701,120900
2015947,129203,21864,1677,1912565,122577
2050351,130957,32640,1664,1945205,124241
2102296,132967,49281,1907,1994486,126148
2146972,134902,42385,1836,2036871,127984
2167209,136989,19199,1980,2056070,129964
2200902,139496,31965,2378,2088035,132342
2218632,142292,16821,2653,2104856,134995
2240146,145243,20411,2800,2125267,137795
2255596,148022,14658,2636,2139924,140431
2297588,150284,39839,2146,2179763,142577
2320354,152872,21599,2455,2201361,145032
2353378,155651,31330,2636,2232692,147669
2399024,158404,43305,2612,2275997,150281
2423728,161709,23437,3136,2299434,153416
2446313,164317,21427,2474,2320861,155890
2470980,166722,23402,2282,2344263,158172
2497001,169112,24687,2267,2368950,160440
2510559,171060,12863,1848,2381812,162288
2541762,172569,29603,1432,2411415,163719
2599566,173793,54840,1161,2466255,164881
2630139,175248,29005,1380,2495260,166261
2667556,177084,35498,1742,2530758,168003
2701241,178961,31958,1781,2562716,169784
2726796,180851,24244,1793,2586960,171577
2754725,182496,26497,1561,2613457,173137
2776934,184060,21070,1484,2634527,174621
2795124,185746,17257,1600,2651784,176221
2816761,187636,20527,1793,2672312,178014
2835867,189367,18126,1642,2690438,179656
2865758,191257,28358,1793,2718796,181449
2920795,192712,52215,1380,2771011,182829
2939900,194235,18125,1445,2789136,184274
2949906,195717,9493,1406,2798629,185680
2982154,197031,30594,1247,2829223,186927
3015142,198952,31296,1822,2860519,188749
3050537,200854,33580,1804,2894099,190554
3083962,202464,31711,1527,2925810,192081
3131130,204389,44749,1826,2970559,193908
3150475,206578,18353,2077,2988912,195984
3168168,208364,16786,1694,3005698,197679
3187047,210082,17911,1630,3023609,199309
3225296,211283,36288,1139,3059896,200448
3270296,212824,42692,1462,3102589,201910
3305739,214891,33625,1961,3136214,203871
3335292,217026,28037,2026,3164251,205896
3354837,219302,18543,2159,3182794,208056
3384449,221559,28093,2141,3210888,210197
3411299,223446,25473,1790,3236361,211987
3431192,225354,18873,1810,3255233,213797
3446794,227258,14802,1806,3270035,215604
3469555,228976,21594,1630,3291629,217234
3498788,230893,27734,1819,3319363,219052
3531188,232443,30738,1471,3350101,220523
3592634,234116,58295,1587,3408396,222110
3648123,236169,52643,1948,3461040,224058
3690381,238168,40091,1896,3501131,225954
