pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
22496,0,22496,0,22496,0
73961,0,51465,0,73961,0
118542,325,44581,325,118542,325
191444,1003,72902,678,191444,1003
218483,1681,27039,678,218483,1681
245399,2359,26916,678,245399,2359
288797,2711,43398,352,288797,2711
325279,2711,36482,0,325279,2711
353709,2711,28430,0,353709,2711
391009,2711,37300,0,391009,2711
426854,2711,35845,0,426854,2711
456458,2711,29604,0,456458,2711
496418,2711,39960,0,496418,2711
521590,2711,25172,0,521590,2711
549046,3063,27456,352,549046,3063
579386,3741,30340,678,579386,3741
633183,4419,53797,678,633183,4419
650213,5097,17030,678,650213,5097
671783,5422,21570,325,671783,5422
699244,5422,27461,0,699244,5422
717452,5422,18208,0,717452,5422
758838,5422,41386,0,758838,5422
779113,5422,20275,0,779113,5422
818790,5422,39677,0,818790,5422
857704,5422,38914,0,857704,5422
883944,6018,26240,596,883944,6018
907425,6696,23481,678,907425,6696
938060,7374,30635,678,938060,7374
965561,8052,27501,678,965561,8052
999926,8133,34365,81,999926,8133
1058830,8133,58904,0,1058830,8133
1084117,8133,25287,0,1084117,8133
1107171,8133,23054,0,1107171,8133
1135473,8133,28302,0,1135473,8133
1165304,8133,29831,0,1165304,8133
1206407,8133,41103,0,1206407,8133
1222054,8512,15647,379,1222054,8512
1237529,9190,15475,678,1237529,9190
1255595,9868,18066,678,1255595,9868
1272990,10546,17395,678,1272990,10546
1297351,10844,24361,298,1297351,10844
1313714,10844,16363,0,1313714,10844
1321976,10844,8262,0,1321976,10844
1363174,10844,41198,0,1363174,10844
1380289,10844,17115,0,1380289,10844
1421155,10844,40866,0,1421155,10844
1457526,10844,36371,0,1457526,10844
1527244,11332,69718,488,1527244,11332
1552300,12010,25056,678,1552300,12010
1575315,12688,23015,678,1575315,12688
1605134,13366,29819,678,1605134,13366
1647465,13556,42331,190,1647465,13556
1666812,13556,19347,0,1666812,13556
1691477,13556,24665,0,1691477,13556
1720849,13556,29372,0,1720849,13556
1742671,13556,21822,0,1742671,13556
1771532,13556,28861,0,1771532,13556
1810288,13556,38756,0,1810288,13556
1827853,13990,17565,434,1827853,13990
1843648,14668,15795,678,1843648,14668
1852040,15346,8392,678,1852040,15346
1914549,16024,62509,678,1914549,16024
1936347,16268,21798,244,1936347,16268
1951760,16268,15413,0,1951760,16268
1961469,16268,9709,0,1961469,16268
2014613,16268,53144,0,2014613,16268
2034649,16268,20036,0,2034649,16268
2088550,16268,53901,0,2088550,16268
2129271,16322,40721,54,2129271,16322
2157098,17000,27827,678,2157098,17000
2187436,17678,30338,678,2187436,17678
2220614,18356,33178,678,2220614,18356
2270087,18979,49473,623,2270087,18979
2293902,18979,23815,0,2293902,18979
2317154,18979,23252,0,2317154,18979
2397753,18979,80599,0,2397753,18979
2424599,18979,26846,0,2424599,18979
2450589,18979,25990,0,2450589,18979
2486385,18979,35796,0,2486385,18979
2531465,18979,45080,0,2531465,18979
2553029,19440,21564,461,2553029,19440
2572836,20118,19807,678,2572836,20118
2590359,20796,17523,678,2590359,20796
2611571,21474,21212,678,2611571,21474
2642863,21691,31292,217,2642863,21691
2659748,21691,16885,0,2659748,21691
2698754,21691,39006,0,2698754,21691
2720809,21691,22055,0,2720809,21691
2742061,21691,21252,0,2742061,21691
2792295,21691,50234,0,2792295,21691
2840270,21718,47975,27,2840270,21718
2910157,22396,69887,678,2910157,22396
2938596,23074,28439,678,2938596,23074
2971135,23752,32539,678,2971135,23752
3016647,24403,45512,651,3016647,24403
3036762,24403,20115,0,3036762,24403
3073500,24403,36738,0,3073500,24403
3107391,24403,33891,0,3107391,24403
3136176,24403,28785,0,3136176,24403
3160242,24403,24066,0,3160242,24403
3199998,24403,39756,0,3199998,24403
3244616,24403,44618,0,3244616,24403
3262417,24864,17801,461,3262417,24864
3294003,25542,31586,678,3294003,25542
3343836,26220,49833,678,3343836,26220
3362196,26898,18360,678,3362196,26898
3395053,27115,32857,217,3395053,27115
3403356,27115,8303,0,3403356,27115
3421765,27115,18409,0,3421765,27115
3462615,27115,40850,0,3462615,27115
3493393,27115,30778,0,3493393,27115
3535528,27115,42135,0,3535528,27115
3590014,27115,54486,0,3590014,27115
3622293,27494,32279,379,3622293,27494
3651485,28172,29192,678,3651485,28172
3678913,28850,27428,678,3678913,28850
3713785,29528,34872,678,3713785,29528
3752619,29826,38834,298,3752619,29826
3837931,29826,85312,0,3837931,29826
3867628,29826,29697,0,3867628,29826
3894924,29826,27296,0,3894924,29826
3914642,29826,19718,0,3914642,29826
