pDMG,cDMG,pDPS,cDPS,reajust pDMG,reajust cDMG
0,0,0,0,0,0
60211,13,58264,13,58264,13
107533,226,45792,206,104056,219
170860,731,61279,489,165335,707
229563,1766,56805,1002,222140,1709
250603,3129,20360,1319,242500,3028
283686,4419,32013,1248,274513,4276
324435,5592,39431,1135,313944,5411
345171,6416,20065,797,334010,6209
373455,7204,27369,763,361379,6971
384398,8564,10589,1316,371968,8287
427457,10467,41667,1841,413635,10129
454171,12524,25850,1990,439485,12119
487453,14543,32206,1954,471691,14073
518473,16427,30017,1823,501708,15896
544759,18827,25436,2322,527144,18218
544759,21383,0,2473,527144,20692
555620,23564,10510,2110,537654,22802
594295,25307,37424,1687,575078,24489
633275,26176,37720,841,612798,25330
725616,26809,89355,613,702153,25942
767228,27794,40266,953,742419,26895
791977,29090,23949,1254,766368,28149
821115,30514,28196,1378,794564,29527
836300,32225,14694,1656,809258,31183
881323,33738,43567,1464,852825,32647
915895,35205,33454,1420,886279,34067
945710,36516,28851,1269,915130,35335
963380,37869,17099,1309,932229,36644
982118,39164,18132,1253,950361,37898
1007556,40365,24615,1162,974976,39060
1035357,41491,26902,1090,1001878,40149
1073534,42349,36943,830,1038821,40980
1087446,43250,13462,872,1052283,41851
1087446,44845,0,1543,1052283,43395
1142318,46756,53098,1849,1105380,45244
1183415,48577,39768,1762,1145149,47006
1235467,50492,50369,1853,1195517,48859
1286437,52454,49322,1899,1244839,50758
1326638,54538,38901,2017,1283740,52774
1349755,56935,22369,2319,1306110,55094
1377001,59368,26365,2354,1332475,57448
1389338,61210,11938,1782,1344413,59231
1427742,62352,37162,1105,1381575,60336
1469155,63272,40074,890,1421649,61226
1482811,64455,13214,1145,1434863,62371
1522934,66080,38826,1572,1473689,63943
1536252,67386,12887,1264,1486576,65207
1577019,68693,39449,1265,1526025,66472
1612353,69782,34191,1054,1560217,67526
1656798,70764,43008,950,1603224,68476
1699103,71665,40937,872,1644161,69348
1699103,72613,0,917,1644161,70265
1732436,73437,32255,797,1676417,71062
1771490,74053,37791,596,1714208,71658
1816849,74840,43892,762,1758100,72420
1856567,75788,38434,917,1796534,73337
1881352,77016,23984,1188,1820517,74526
1926234,79275,43431,2186,1863948,76712
1955014,81409,27849,2065,1891797,78777
1971970,83575,16408,2096,1908205,80873
2001946,85658,29007,2016,1937212,82888
2040934,87501,37727,1783,1974939,84672
2063316,89643,21658,2073,1996597,86744
2074145,92068,10479,2347,2007076,89091
2087309,93979,12738,1849,2019815,90940
2113637,94893,25477,884,2045291,91825
2152862,95664,37957,746,2083248,92571
2210721,96391,55988,703,2139236,93274
2242947,97164,31184,748,2170420,94022
2245278,98132,2256,937,2172676,94959
2286316,99053,39711,891,2212387,95850
2320905,100011,33471,927,2245857,96777
2359760,100976,37599,934,2283456,97711
2416150,101941,54567,934,2338022,98645
2457369,102996,39886,1021,2377908,99666
2484424,104386,26180,1345,2404089,101011
2494091,105423,9354,1003,2413443,102014
2518300,106264,23426,814,2436869,102828
2542719,106968,23629,681,2460499,103509
2596448,107521,51992,535,2512490,104044
2609729,108137,12852,596,2525342,104640
2622356,109085,12219,917,2537561,105558
2632244,110798,9568,1658,2547129,107215
2642748,112482,10164,1630,2557293,108845
2726176,114112,80730,1577,2638023,110422
2758916,115768,31681,1602,2669705,112025
2776449,117505,16966,1681,2686671,113705
2788104,119485,11278,1916,2697949,115621
2848057,121454,58014,1905,2755963,117527
2873722,123422,24835,1904,2780798,119431
2906816,124822,32024,1355,2812822,120786
2953935,126109,45595,1245,2858418,122031
2996212,127363,40910,1213,2899328,123245
3027283,128778,30066,1369,2929394,124614
3047677,129884,19735,1070,2949128,125684
3063147,130765,14970,853,2964098,126537
3106604,131497,42052,708,3006150,127245
3150223,132132,42209,614,3048359,127859
3163612,133163,12956,998,3061315,128857
3163612,134571,0,1362,3061315,130220
3224035,135745,58469,1136,3119784,131356
3236628,136803,12186,1024,3131970,132379
3264688,137870,27153,1032,3159122,133412
3303345,138882,37407,979,3196529,134391
3305948,140091,2519,1170,3199048,135561
3347006,141357,39730,1225,3238778,136786
3382073,142446,33933,1054,3272712,137840
3433332,143404,49602,927,3322313,138767
3461192,144342,26959,908,3349272,139675
3531645,145236,68175,865,3417447,140540
3570908,146254,37993,985,3455440,141525
3578627,147567,7469,1271,3462910,142795
3607632,148626,28067,1025,3490977,143820
3624010,149768,15848,1105,3506825,144925
3653957,150770,28979,970,3535804,145895
3691558,151675,36385,876,3572189,146770
3708019,152563,15929,859,3588118,147630
3757058,153501,47453,908,3635571,148537
3785047,154255,27084,730,3662655,149267
